Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2006,43,STL,NFL,16,8,8,0,.500,-4.0,0.8,-4.7,,,,,2,9,4,
2007,44,STL,NFL,16,3,13,0,.188,-13.0,-6.5,-6.5,,,,,4,9,3,
2008,45,STL,NFL,4,0,4,0,.000,-15.1,-8.1,-7.0,,,,,4,1,1,Fired after Week 4
