Year,Age,Level,Employer,Role
2002,23,College (FBS),Michigan State,Defensive Assistant
2003,24,College (FBS),Michigan State,Defensive Assistant
2004,25,College (FBS),Central Michigan,Defensive Assistant
2005,26,College (FBS),Georgia,Defensive Assistant
2005,26,NFL,Houston Texans,Defensive Intern
2006,27,NFL,Houston Texans,Defensive Quality Control
2007,28,NFL,Houston Texans,Defensive Quality Control
2008,29,NFL,Houston Texans,Defensive Quality Control
2009,30,NFL,Houston Texans,Asst. Linebackers
2010,31,NFL,Houston Texans,Asst. Linebackers
2011,32,NFL,Seattle Seahawks,Defensive Quality Control
2012,33,NFL,Seattle Seahawks,Defensive Quality Control
2013,34,NFL,Seattle Seahawks,Defensive Quality Control
2014,35,NFL,Jacksonville Jaguars,Linebackers
2015,36,NFL,Jacksonville Jaguars,Linebackers
2016,37,NFL,Jacksonville Jaguars,Linebackers
2017,38,NFL,San Francisco 49ers,Defensive Coordinator
2018,39,NFL,San Francisco 49ers,Defensive Coordinator
2019,40,NFL,San Francisco 49ers,Defensive Coordinator
2020,41,NFL,San Francisco 49ers,Defensive Coordinator
2021,42,NFL,New York Jets,Head Coach
2022,43,NFL,New York Jets,Head Coach
2023,44,NFL,New York Jets,Head Coach
2024,45,NFL,New York Jets,Head Coach
2025,46,NFL,San Francisco 49ers,Defensive Coordinator
