,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,1944,69,1956,580,3.4,37,8,110,76,213,996,3,29,4.7,47,367,960,6,2.6,53,81,639,10,,,,,,,,,,,,,,,,,
1,1943,65,1579,538,2.9,30,9,80,90,205,969,5,21,4.7,35,333,610,4,1.8,39,36,292,6,,,,,,,,,,,,,,,,,
2,1942,100,2179,590,3.7,34,10,109,56,159,714,3,24,4.5,23,431,1465,9,3.4,76,32,288,10,,,,,,,,,,,,,,,,,
3,1941,158,2798,646,4.3,28,10,132,90,202,1131,5,18,5.6,44,444,1667,14,3.8,82,38,371,6,,,,,,,,,,,,,,,,,
4,1940,186,2813,605,4.6,13,0,115,80,191,1267,14,13,6.6,,414,1546,9,3.7,,0,285,,,,,,,,,,,,,,,,,,
5,1939,108,2351,583,4.0,16,0,113,77,176,1024,4,16,5.8,,407,1327,7,3.3,,0,210,,,,,,,,,,,,,,,,,,
6,1938,131,2204,552,4.0,9,0,96,69,171,992,6,9,5.8,,381,1212,9,3.2,,0,332,,,,,,,,,,,,,,,,,,
7,1937,82,1977,536,3.7,25,0,88,64,179,995,4,25,5.6,,357,982,5,2.8,,0,190,,,,,,,,,,,,,,,,,,
8,1936,92,1921,505,3.8,23,0,90,43,141,621,2,23,4.4,,364,1300,9,3.6,,0,210,,,,,,,,,,,,,,,,,,
9,1935,90,1826,545,3.4,23,0,90,52,178,718,5,23,4.0,,367,1108,6,3.0,,0,179,,,,,,,,,,,,,,,,,,
10,1934,61,1557,470,3.3,26,0,,42,161,577,5,26,3.6,,309,980,1,3.2,,0,0,,,,,,,,,,,,,,,,,,
11,1933,93,2241,526,4.3,21,0,,79,170,1129,7,21,6.6,,356,1112,4,3.1,,0,0,,,,,,,,,,,,,,,,,,
12,1932,63,1695,527,3.2,16,0,,42,136,586,5,16,4.3,,391,1109,4,2.8,,0,0,,,,,,,,,,,,,,,,,,
13,1931,64,,,,,0,,0,0,0,4,0,,,0,0,5,,,0,0,,,,,,,,,,,,,,,,,,
14,1930,154,,,,,0,,0,0,0,10,0,,,0,0,12,,,0,0,,,,,,,,,,,,,,,,,,
