,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1944,NFL,Brooklyn Tigers,0,10,0,5th of 5,,69,166,-97,"Kubale,Cawthon,Bridges",,McGibbony,Manders,Masterson,10,9,5,5,9,8,8,11,-9.7,3.1,-6.6,-9.4,2.8
1,1943,NFL,Brooklyn Dodgers,2,8,0,5th of 5,,65,234,-169,Cawthon,,McAdams,Manders,Martin,8,8,7,8,6,8,8,10,-16.9,2.1,-14.8,-12.7,-2.1
2,1942,NFL,Brooklyn Dodgers,3,8,0,4th of 5,,100,168,-68,Getto,,McAdams,Condit,Schwartz,8,8,5,4,9,7,7,10,-6.2,1.1,-5.1,-5.8,0.7
3,1941,NFL,Brooklyn Dodgers,7,4,0,2nd of 5,,158,127,31,Sutherland,,Parker,Manders,Schwartz,5,3,3,2,4,4,3,10,2.8,-3.3,-0.5,-3.2,2.8
4,1940,NFL,Brooklyn Dodgers,8,3,0,2nd of 5,,186,120,66,Sutherland,,Parker,McFadden,Schwartz,4,4,1,8,4,4,6,10,6.0,-2.3,3.7,0.9,2.8
5,1939,NFL,Brooklyn Dodgers,4,6,1,3rd of 5,,108,219,-111,Clark,,Parker,Manders,Schwartz,8,6,9,10,6,9,7,10,-10.1,-0.3,-10.4,-4.7,-5.7
6,1938,NFL,Brooklyn Dodgers,4,4,3,3rd of 5,,131,161,-30,Clark,,Parker,Parker,Barrett,6,8,6,8,2,7,8,10,-2.7,0.2,-2.5,-1.5,-1.0
7,1937,NFL,Brooklyn Dodgers,3,7,1,4th of 5,,82,174,-92,Clark,,Parker,Maniaci,Barrett,9,8,8,9,7,9,8,10,-8.4,-0.9,-9.3,-5.6,-3.7
8,1936,NFL,Brooklyn Dodgers,3,8,1,4th of 5,,92,161,-69,Schissler,,Sarboe,Wilson,Barrett,7,9,6,5,5,6,8,9,-5.8,-1.8,-7.5,-5.2,-2.4
9,1935,NFL,Brooklyn Dodgers,5,6,1,2nd of 5,,90,141,-51,Schissler,,Kercheval,Franklin,Becker,7,8,7,8,2,6,8,9,-4.3,-1.6,-5.9,-4.6,-1.3
10,1934,NFL,Brooklyn Dodgers,4,7,0,3rd of 5,,61,153,-92,McEwan,,Cagle,Karcis,Kercheval,9,9,8,8,9,8,10,11,-8.4,0.4,-8.0,-4.2,-3.8
11,1933,NFL,Brooklyn Dodgers,5,4,1,2nd of 5,,93,54,39,McEwan,,Friedman,Kelly,Kelly,5,4,1,2,6,4,4,10,3.9,-3.7,0.2,-2.2,2.4
12,1932,NFL,Brooklyn Dodgers,3,9,0,6th of 8,,63,131,-68,Friedman,,Friedman,Grossman,Grossman,8,8,6,1,6,7,8,8,-5.7,-0.6,-6.2,-3.5,-2.7
13,1931,NFL,Brooklyn Dodgers,2,12,0,9th of 10,,64,199,-135,Depler,,,,,8,1,9,1,1,9,1,10,-9.6,1.4,-8.3,-4.7,-3.6
14,1930,NFL,Brooklyn Dodgers,7,4,1,4th of 11,,154,59,95,Depler,,,,,3,1,1,1,1,3,1,11,7.9,-2.1,5.8,1.4,4.4
