Year,Age,Level,Employer,Role
2010,25,College (FBS),Louisville,Offensive Assistant
2011,26,NFL,San Diego Chargers,Defensive Assistant
2012,27,NFL,San Diego Chargers,Defensive Assistant
2013,28,NFL,Cleveland Browns,Offensive Quality Control
2014,29,NFL,San Diego Chargers,Offensive Quality Control
2015,30,NFL,San Diego Chargers,Offensive Quality Control
2016,31,NFL,San Diego Chargers,Quarterbacks
2017,32,NFL,Los Angeles Chargers,Quarterbacks
2018,33,NFL,Los Angeles Chargers,Quarterbacks
2019,34,NFL,Los Angeles Chargers,Quarterbacks/Interim Offensive Coordinator
2020,35,NFL,Los Angeles Chargers,Offensive Coordinator
2021,36,NFL,Philadelphia Eagles,Offensive Coordinator
2022,37,NFL,Philadelphia Eagles,Offensive Coordinator
2023,38,NFL,Indianapolis Colts,Head Coach
2024,39,NFL,Indianapolis Colts,Head Coach
2025,40,NFL,Indianapolis Colts,Head Coach
