Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1945,RAM,HC,10,1,2,2,2,2,3,9,5,1,2,1,10,7,3,1,6,1,3,3,1,4,4,4,3,2,10,6,2,2,2
1946,RAM,HC,10,3,7,4,5,1,2,6,7,3,4,1,7,1,1,1,8,7,8,8,6,4,6,6,6,8,9,10,10,6,10
