,Year,Age,Level,Employer,Role
0,1956,24,High School,Williston HS (ND),Assistant Coach
1,1957,25,High School,St. Mary's New England HS (ND),Head Coach
2,1958,26,High School,St. Mary's New England HS (ND),Head Coach
3,1959,27,High School,St. Mary's New England HS (ND),Head Coach
4,1960,28,High School,Bishop Ryan HS (ND),Head Coach
5,1961,29,High School,Bishop Ryan HS (ND),Head Coach
6,1962,30,High School,Bishop Ryan HS (ND),Head Coach
7,1963,31,College,North Dakota State,Assistant Coach
8,1964,32,College,North Dakota State,Assistant Coach
9,1965,33,College,North Dakota State,Assistant Coach
10,1966,34,College,North Dakota State,Head Coach
11,1967,35,College,North Dakota State,Head Coach
12,1968,36,College,North Dakota State,Head Coach
13,1969,37,College,North Dakota State,Head Coach
14,1970,38,College,North Dakota State,Head Coach
15,1971,39,College,North Dakota State,Head Coach
16,1972,40,College,North Dakota State,Head Coach
17,1973,41,NFL,New England Patriots,Offensive Backs
18,1974,42,NFL,New England Patriots,Offensive Backs
19,1975,43,NFL,New England Patriots,Offensive Backs
20,1976,44,NFL,New England Patriots,Offensive Backs
21,1977,45,NFL,New England Patriots,Offensive Coordinator
22,1978,46,NFL,New England Patriots,Offensive Coordinator/Interim Co-HC
23,1979,47,NFL,New England Patriots,Head Coach
24,1980,48,NFL,New England Patriots,Head Coach
25,1981,49,NFL,New England Patriots,Head Coach
26,1982,50,NFL,New York Giants,Offensive Coordinator
27,1983,51,NFL,New York Giants,Offensive Coordinator
28,1984,52,NFL,New York Giants,Offensive Coordinator
29,1985,53,NFL,New York Giants,Offensive Coordinator
30,1986,54,NFL,New York Giants,Offensive Coordinator
31,1987,55,NFL,New York Giants,Offensive Coordinator
32,1988,56,NFL,New York Giants,Offensive Coordinator
33,1989,57,NFL,New York Giants,Offensive Coordinator
34,1990,58,NFL,New York Giants,Offensive Coordinator
35,1991,59,NFL,New York Giants,Assistant Head Coach
36,1992,60,NFL,Pittsburgh Steelers,Offensive Coordinator
37,1993,61,NFL,Pittsburgh Steelers,Offensive Coordinator
38,1994,62,NFL,Pittsburgh Steelers,Offensive Coordinator
39,1995,63,NFL,Pittsburgh Steelers,Offensive Coordinator
40,1996,64,NFL,New York Jets,Offensive Coordinator
41,1997,65,NFL,New York Jets,Offensive Coordinator
