,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2007,35,PIT,NFL,16,10,6,0,.625,5.2,0.9,4.3,1,0,1,.000,1,9,3,
1,2008,36,PIT,NFL,16,12,4,0,.750,9.8,1.6,8.2,3,3,0,1.000,1,6,5,Super Bowl Champions
2,2009,37,PIT,NFL,16,9,7,0,.563,1.7,1.0,0.7,,,,,3,4,2,
3,2010,38,PIT,NFL,16,12,4,0,.750,10.2,2.5,7.7,3,2,1,.667,1,7,3,AFC Champions
4,2011,39,PIT,NFL,16,12,4,0,.750,5.3,-0.8,6.0,1,0,1,.000,2,6,3,
5,2012,40,PIT,NFL,16,8,8,0,.500,-0.7,-2.8,2.1,,,,,3,6,4,
6,2013,41,PIT,NFL,16,8,8,0,.500,-2.0,-0.9,-1.0,,,,,2,6,4,
7,2014,42,PIT,NFL,16,11,5,0,.688,2.2,4.4,-2.1,1,0,1,.000,1,6,2,
8,2015,43,PIT,NFL,16,10,6,0,.625,8.7,5.1,3.6,2,1,1,.500,2,6,3,
9,2016,44,PIT,NFL,16,11,5,0,.688,4.7,2.8,2.0,3,2,1,.667,1,5,2,
10,2017,45,PIT,NFL,16,13,3,0,.813,5.0,3.2,1.8,1,0,1,.000,1,4,0,
11,2018,46,PIT,NFL,16,9,6,1,.594,5.6,3.9,1.7,,,,,2,5,0,
12,2019,47,PIT,NFL,16,8,8,0,.500,0.3,-4.3,4.6,,,,,2,8,3,
13,2020,48,PIT,NFL,16,12,4,0,.750,4.7,0.3,4.4,1,0,1,.000,1,4,2,
