Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2016,48,BUF,NFL,1,0,1,0,.000,-0.3,1.8,-2.2,,,,,3,0,0,Promoted to Head Coach after Week 16
2017,49,LAC,NFL,16,9,7,0,.563,3.6,-0.3,4.0,,,,,2,4,2,
2018,50,LAC,NFL,16,12,4,0,.750,6.0,3.0,2.9,2,1,1,.500,2,3,1,
2019,51,LAC,NFL,16,5,11,0,.313,-1.3,-1.6,0.3,,,,,4,2,1,
2020,52,LAC,NFL,16,7,9,0,.438,-2.9,-1.0,-2.0,,,,,3,1,0,
