,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1927,NFL,Duluth Eskimos,1,8,0,11th of 12,,68,134,-66,Nevers,,,,,7,1,11,1,1,11,1,12,-7.3,9.6,2.3,3.1,-0.8
1,1926,NFL,Duluth Eskimos,6,5,3,8th of 22,,113,81,32,Scanlon,,,,,7,1,9,1,1,7,1,22,2.3,4.1,6.4,2.7,3.6
2,1925,NFL,Duluth Kelleys,0,3,0,16th of 20,,6,25,-19,Scanlon,,,,,18,1,8,1,1,14,1,20,-6.3,-0.1,-6.4,-7.3,0.9
3,1924,NFL,Duluth Kelleys,5,1,0,4th of 18,,56,16,40,Scanlon,,,,,9,1,1,1,1,4,1,18,6.7,2.1,8.8,0.5,8.3
4,1923,NFL,Duluth Kelleys,4,3,0,7th of 20,,35,33,2,Sternaman,,,,,12,1,8,1,1,11,1,20,0.3,1.8,2.1,-1.0,3.1
