,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1995,JAX,DC,30,28,21,28,28,28,27,10,20,17,23,9,13,27,27,20,11,26,21,28,26,29,24,26,17,23,5,17,25,25,27
1,1996,JAX,DC,30,10,19,16,6,2,14,14,21,17,14,15,6,9,1,17,20,1,15,19,20,17,19,8,21,7,8,16,21,23,20
2,1997,JAX,DC,30,5,6,6,9,7,3,2,11,18,2,18,9,21,4,14,1,1,23,15,13,17,13,12,11,7,18,24,22,18,22
3,1998,JAX,DC,30,6,5,11,20,10,8,3,9,5,3,4,7,27,20,10,3,9,25,17,13,14,22,8,26,5,28,23,17,21,17
4,1999,CHI,HC,31,22,17,24,20,8,25,27,25,26,31,23,22,1,3,6,27,19,29,20,10,18,23,16,28,3,27,29,21,23,25
5,2000,CHI,HC,31,24,23,26,23,23,28,15,20,21,29,15,17,16,23,28,15,27,16,20,29,23,19,23,10,25,14,17,23,27,20
6,2001,CHI,HC,31,2,4,3,21,26,11,6,7,17,12,27,3,15,24,12,13,24,15,1,5,3,2,2,4,4,31,29,1,9,13
7,2002,CHI,HC,32,29,23,27,29,29,27,25,30,32,29,30,26,20,24,16,21,28,25,25,17,31,26,10,15,3,18,24,22,30,25
8,2003,CHI,HC,32,17,27,23,26,28,23,17,18,18,16,19,7,17,30,30,24,32,14,22,28,15,16,17,17,32,23,13,16,14,13
9,2004,DET,DC,32,21,14,23,27,24,24,4,25,19,30,9,2,21,23,20,8,25,22,18,24,28,15,11,8,22,25,20,25,22,17
10,2005,DET,HC,32,23,14,25,28,27,28,20,23,26,22,25,14,14,26,26,25,26,20,21,7,24,24,20,23,15,10,13,14,7,21
11,,DET,DC,32,23,14,25,28,27,28,20,23,26,22,25,14,14,26,26,25,26,20,21,7,24,24,20,23,15,10,13,14,7,21
12,2006,BUF,HC,32,21,23,17,30,30,23,19,25,27,23,28,25,31,28,17,11,21,18,10,25,23,28,17,29,17,16,7,9,24,6
13,2007,BUF,HC,32,18,6,25,31,30,30,4,12,15,25,18,5,30,30,29,6,21,31,18,11,20,25,25,28,13,24,29,8,10,24
14,2008,BUF,HC,32,22,27,20,24,25,23,24,13,14,11,16,30,24,22,26,16,22,14,14,20,22,22,24,21,10,10,13,4,27,20
15,2009,BUF,HC,32,24,11,23,26,30,28,20,21,16,29,9,17,31,30,23,23,27,19,16,5,31,30,28,30,32,13,2,2,2,2
16,2011,CLE,DC,32,28,13,27,28,29,30,4,21,28,32,31,5,11,24,27,8,30,10,5,25,31,30,18,21,7,2,2,4,28,6
17,2012,CLE,DC,32,26,12,24,29,25,24,17,24,24,13,21,9,13,19,28,26,25,23,19,9,23,19,21,13,8,27,25,21,11,17
