,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2022,WildCard,Sun,"January 15, 2023",boxscore,L,,,New York Giants,24,31,21,332,271,61,,28,431,289,142,,,,
1,2019,WildCard,Sun,"January 5, 2020",boxscore,W,OT,@,New Orleans Saints,26,20,22,362,226,136,1,19,324,227,97,2,,,
2,2019,Division,Sat,"January 11, 2020",boxscore,L,,@,San Francisco 49ers,10,27,7,147,126,21,2,21,308,122,186,2,,,
3,2017,Division,Sun,"January 14, 2018",boxscore,W,,,New Orleans Saints,29,24,24,403,308,95,1,23,358,278,80,2,,,
4,2017,ConfChamp,Sun,"January 21, 2018",boxscore,L,,@,Philadelphia Eagles,7,38,22,333,263,70,3,27,456,346,110,,,,
5,2015,WildCard,Sun,"January 10, 2016",boxscore,L,,,Seattle Seahawks,9,10,14,183,125,58,1,13,226,129,97,1,,,
6,2012,WildCard,Sat,"January 5, 2013",boxscore,L,,@,Green Bay Packers,10,24,17,324,157,167,3,20,326,250,76,,,,
7,2009,Division,Sun,"January 17, 2010",boxscore,W,,,Dallas Cowboys,34,3,16,323,214,109,,16,248,156,92,3,,,
8,2009,ConfChamp,Sun,"January 24, 2010",boxscore,L,OT,@,New Orleans Saints,28,31,31,475,310,165,5,15,257,189,68,1,,,
9,2008,WildCard,Sun,"January 4, 2009",boxscore,L,,,Philadelphia Eagles,14,26,16,301,153,148,2,15,350,283,67,2,,,
10,2004,WildCard,Sun,"January 9, 2005",boxscore,W,,@,Green Bay Packers,31,17,18,384,261,123,,24,306,201,105,4,,,
11,2004,Division,Sun,"January 16, 2005",boxscore,L,,@,Philadelphia Eagles,14,27,21,385,288,97,2,23,395,286,109,1,,,
12,2000,Division,Sat,"January 6, 2001",boxscore,W,,,New Orleans Saints,34,16,18,429,302,127,,19,355,286,69,2,,,
13,2000,ConfChamp,Sun,"January 14, 2001",boxscore,L,,@,New York Giants,0,41,9,114,60,54,5,31,518,380,138,2,,,
14,1999,WildCard,Sun,"January 9, 2000",boxscore,W,,,Dallas Cowboys,27,10,20,374,199,175,,18,389,278,111,3,,,
15,1999,Division,Sun,"January 16, 2000",boxscore,L,,@,St. Louis Rams,37,49,27,475,388,87,3,23,405,374,31,3,,,
16,1998,Division,Sun,"January 10, 1999",boxscore,W,,,Arizona Cardinals,41,21,26,416,228,188,1,23,316,242,74,3,,,
17,1998,ConfChamp,Sun,"January 17, 1999",boxscore,L,OT,,Atlanta Falcons,27,30,26,356,254,102,2,25,427,317,110,2,,,
18,1997,WildCard,Sat,"December 27, 1997",boxscore,W,,@,New York Giants,23,22,16,293,187,106,3,13,266,190,76,2,,,
19,1997,Division,Sat,"January 3, 1998",boxscore,L,,@,San Francisco 49ers,22,38,16,378,321,57,1,31,394,219,175,,,,
20,1996,WildCard,Sat,"December 28, 1996",boxscore,L,,@,Dallas Cowboys,15,40,12,268,205,63,6,27,438,183,255,2,,,
21,1994,WildCard,Sun,"January 1, 1995",boxscore,L,,,Chicago Bears,18,35,22,389,340,49,4,18,308,214,94,2,,,
22,1993,WildCard,Sun,"January 9, 1994",boxscore,L,,@,New York Giants,10,17,11,260,181,79,1,17,270,94,176,,,,
23,1992,WildCard,Sat,"January 2, 1993",boxscore,L,,,Washington Redskins,7,24,9,148,75,73,2,24,358,162,196,1,,,
24,1989,Division,Sat,"January 6, 1990",boxscore,L,,@,San Francisco 49ers,13,41,25,385,299,86,5,22,403,241,162,1,,,
25,1988,WildCard,Mon,"December 26, 1988",boxscore,W,,,Los Angeles Rams,28,17,11,310,207,103,,19,342,235,107,3,,,
