Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,332,5702,1078,5.3,33,9,325,415,637,4114,24,24,6.0,218,392,1588,12,4.1,83,141,1185,24,187,31.6,16.6,Own 29.7,2:43,5.9,30.5,1.72,219,78,35.6%,35,13,37.1%,49,29,59.2%
2023,362,5664,1095,5.2,22,11,328,426,606,3986,23,11,6.1,208,446,1678,14,3.8,104,111,916,16,186,37.1,11.3,Own 30.1,2:51,6.1,30.5,1.91,232,96,41.4%,25,18,72.0%,50,27,54.0%
2022,427,6608,1118,5.9,25,10,359,408,617,4515,23,15,6.9,224,463,2093,18,4.5,113,111,926,22,192,41.1,12.0,Own 27.8,2:45,6.1,34.4,2.09,215,82,38.1%,29,11,37.9%,49,28,57.1%
2021,426,6522,1152,5.7,24,8,391,401,626,4300,29,16,6.4,224,475,2222,15,4.7,131,93,786,36,194,40.2,11.9,Own 28.0,2:47,6.1,33.6,2.11,214,78,36.4%,30,15,50.0%,59,33,55.9%
2020,475,6292,1036,6.1,22,7,366,358,541,4141,30,15,7.3,208,472,2151,19,4.6,136,83,723,22,168,50.0,10.7,Own 32.9,2:53,6.4,37.2,2.67,185,73,39.5%,24,17,70.8%,58,34,58.6%
2019,303,5465,1053,5.2,31,14,324,394,601,3737,23,17,5.8,215,404,1728,8,4.3,78,83,713,31,173,34.7,17.3,Own 28.3,2:53,6.3,31.6,1.76,214,85,39.7%,29,16,55.2%,48,21,43.8%
2018,341,4955,993,5.0,20,8,303,315,503,3140,15,12,5.7,160,440,1815,13,4.1,107,106,834,36,181,33.7,10.5,Own 28.6,2:45,5.7,27.3,1.63,190,58,30.5%,19,9,47.4%,49,22,44.9%
2017,252,4415,956,4.6,19,5,260,324,555,3078,13,14,5.2,168,364,1337,10,3.7,59,105,928,33,179,27.9,10.1,Own 27.7,2:28,5.5,24.6,1.35,202,51,25.2,23,9,39.1,40,16,40.0
2016,307,5038,993,5.1,27,13,304,332,548,3327,22,14,5.6,186,404,1711,9,4.2,87,99,825,31,177,33.3,14.1,Own 27.1,2:42,5.8,28.4,1.70,206,80,38.8%,14,3,21.4%,44,24,54.5%
2015,302,5510,1015,5.4,22,9,318,359,561,3762,24,13,6.2,189,411,1748,7,4.3,94,109,875,35,177,33.3,11.9,Own 25.5,2:42,5.9,31.1,1.70,206,71,34.5%,22,11,50.0%,43,19,44.2%
2014,343,5515,1025,5.4,19,6,321,353,534,3572,26,13,6.2,189,450,1943,10,4.3,100,112,938,32,179,34.1,10.1,Own 28.2,2:49,5.9,30.6,1.83,217,90,41.5%,14,9,64.3%,48,26,54.2%
2013,480,6362,1132,5.6,20,8,368,419,648,4595,37,12,6.7,247,443,1767,14,4.0,101,100,1003,20,197,39.6,9.1,Own 29.8,2:42,5.9,32.2,2.22,231,102,44.2%,18,11,61.1%,63,39,61.9%
2012,348,5600,1083,5.2,22,12,345,391,612,3908,28,10,6.0,229,427,1692,10,4.0,82,111,949,34,187,33.7,11.8,Own 26.8,2:42,6.0,30.0,1.82,230,95,41.3%,20,11,55.0%,51,31,60.8%
2011,449,5731,1027,5.6,23,15,332,367,538,4019,34,8,6.8,213,439,1712,10,3.9,92,97,834,27,185,41.1,10.8,Own 30.0,2:43,5.7,30.9,2.18,208,92,44.2%,9,5,55.6%,56,29,51.8%
2010,348,5002,977,5.1,26,11,276,333,529,3367,25,15,6.0,178,417,1635,10,3.9,87,98,786,11,184,28.8,12.5,Own 29.8,2:36,5.4,27.2,1.63,213,87,40.8%,10,5,50.0%,46,26,56.5%
2009,312,4888,940,5.2,24,13,271,341,535,3494,26,11,6.0,183,357,1394,5,3.9,63,109,902,25,188,28.2,11.7,Own 27.7,2:20,5.1,25.9,1.51,200,69,34.5%,12,5,41.7%,40,18,45.0%
2008,333,4679,946,4.9,25,13,255,324,530,3449,15,12,6.0,163,371,1230,10,3.3,72,109,1002,20,191,27.7,12.6,Own 32.0,2:24,5.1,24.5,1.40,203,68,33.5%,13,5,38.5%,47,20,42.6%
2007,311,5410,1063,5.1,31,16,305,415,646,4225,22,15,6.2,222,379,1185,7,3.1,67,110,763,16,192,29.7,16.1,Own 29.4,2:34,5.7,28.0,1.49,234,94,40.2%,18,7,38.9%,47,22,46.8%
2006,327,4803,977,4.9,36,15,272,355,599,3818,15,21,6.1,192,348,985,9,2.8,53,112,899,27,192,30.2,16.7,Own 31.3,2:23,5.3,25.0,1.41,215,74,34.4%,13,7,53.8%,46,17,37.0%
2005,344,5173,1029,5.0,35,11,304,319,533,3332,23,24,5.9,177,462,1841,14,4.0,96,137,990,31,189,34.4,15.9,Own 33.4,2:38,5.6,27.3,1.81,221,95,43.0%,13,5,38.5%,53,25,47.2%
2004,395,5902,1018,5.8,22,11,350,338,544,3896,30,11,6.7,220,435,2006,15,4.6,110,110,974,20,166,41.6,13.3,Own 31.8,2:55,6.3,35.3,2.33,196,90,45.9%,16,10,62.5%,63,37,58.7%
2003,353,5356,955,5.6,35,7,316,311,531,3477,17,28,6.1,186,387,1879,22,4.9,94,90,720,36,178,33.7,19.1,Own 32.8,2:26,5.5,30.0,1.89,182,70,38.5%,14,6,42.9%,59,36,61.0%
2002,442,5769,963,6.0,23,7,315,335,542,4103,33,16,7.2,198,394,1666,15,4.2,83,100,824,34,187,36.9,12.3,Own 31.1,2:28,5.3,30.7,2.13,193,75,38.9%,15,5,33.3%,53,30,56.6%
2001,390,5666,985,5.8,18,10,312,291,478,3367,16,8,6.6,166,477,2299,21,4.8,127,92,874,19,177,39.5,9.0,Own 31.0,2:47,5.8,31.8,2.02,204,82,40.2%,10,6,60.0%,62,32,51.6%
2000,371,5701,1011,5.6,18,10,344,369,584,3913,23,8,6.4,208,396,1788,17,4.5,110,104,747,26,170,38.2,9.4,Own 30.0,2:53,6.1,33.5,2.09,202,92,45.5%,14,4,28.6%,62,32,51.6%
1999,335,5597,1065,5.3,30,18,320,373,606,3980,20,12,6.1,213,413,1617,9,3.9,83,108,880,24,185,31.4,15.1,Own 28.5,2:40,6.0,30.1,1.57,227,89,39.2%,15,8,53.3%,46,16,34.8%
1998,296,5066,997,5.1,34,15,300,320,555,3452,17,19,5.8,171,404,1614,12,4.0,102,132,1167,27,,,,,,,,,,,,,,,,,
1997,359,5687,1028,5.5,27,15,325,336,542,3704,28,12,6.3,195,442,1983,13,4.5,104,81,668,26,,,,,,,,,,,,,,,,,
1996,315,5087,1025,5.0,35,13,309,314,537,3121,18,22,5.4,169,445,1966,15,4.4,117,105,840,23,,,,,,,,,,,,,,,,,
1995,385,5451,1016,5.4,40,15,312,369,620,4122,29,25,6.2,212,352,1329,11,3.8,75,100,707,25,,,,,,,,,,,,,,,,,
1994,314,4742,988,4.8,34,16,287,368,597,3652,25,18,5.8,195,355,1090,9,3.1,65,83,614,27,,,,,,,,,,,,,,,,,
1993,290,4406,938,4.7,34,10,259,310,478,2870,11,24,5.5,139,415,1536,14,3.7,98,97,768,22,,,,,,,,,,,,,,,,,
1992,249,4515,997,4.5,42,14,293,320,508,2782,12,28,5.0,154,438,1733,11,4.0,113,98,768,26,,,,,,,,,,,,,,,,,
1991,306,5016,988,5.1,28,11,301,286,499,3179,16,17,6.0,172,456,1837,17,4.0,106,92,709,23,,,,,,,,,,,,,,,,,
1990,326,4717,972,4.9,33,11,257,218,422,2643,20,22,5.6,136,503,2074,12,4.1,107,100,787,14,,,,,,,,,,,,,,,,,
1989,275,4184,1021,4.1,36,18,266,252,488,2501,18,18,4.5,140,462,1683,14,3.6,100,116,903,26,,,,,,,,,,,,,,,,,
