Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
atl,436,5907.0,1070.0,5.5,27.0,12,354.0,243,453,3173,26,15,6.8,164.0,600,2734,24,4.6,162.0,92,729,28.0,,,,,,,,,,,,,,,,,
buf,305,4906.0,1022.0,4.8,31.0,14,297.0,249,447,2854,25,17,5.9,162.0,541,2052,11,3.8,114.0,103,840,21.0,,,,,,,,,,,,,,,,,
chi,282,4215.0,989.0,4.3,24.0,11,261.0,255,507,2802,24,13,4.9,158.0,412,1413,5,3.4,77.0,120,1108,26.0,,,,,,,,,,,,,,,,,
cin,370,4697.0,937.0,5.0,26.0,12,286.0,267,456,3056,24,14,6.2,169.0,441,1641,15,3.7,99.0,79,669,18.0,,,,,,,,,,,,,,,,,
cle,239,4264.0,902.0,4.7,36.0,13,251.0,246,467,2831,15,23,5.7,134.0,401,1433,7,3.6,86.0,120,1008,31.0,,,,,,,,,,,,,,,,,
clt,238,4550.0,1003.0,4.5,45.0,25,276.0,250,501,2760,19,20,5.1,161.0,463,1790,6,3.9,97.0,85,689,18.0,,,,,,,,,,,,,,,,,
crd,368,5384.0,1023.0,5.3,33.0,19,306.0,276,490,3383,30,14,6.4,168.0,492,2001,16,4.1,116.0,88,718,22.0,,,,,,,,,,,,,,,,,
dal,348,5061.0,1012.0,5.0,43.0,20,294.0,269,502,3444,21,23,6.2,175.0,459,1617,19,3.5,85.0,100,851,34.0,,,,,,,,,,,,,,,,,
den,288,4813.0,941.0,5.1,47.0,19,277.0,261,456,2796,15,28,5.7,148.0,454,2017,16,4.4,103.0,96,785,26.0,,,,,,,,,,,,,,,,,
det,384,5273.0,1005.0,5.2,32.0,13,314.0,259,459,3203,23,19,6.4,162.0,504,2070,18,4.1,122.0,115,907,30.0,,,,,,,,,,,,,,,,,
gnb,300,4923.0,1024.0,4.8,42.0,24,296.0,279,469,3003,14,18,6.0,152.0,521,1920,15,3.7,118.0,104,852,26.0,,,,,,,,,,,,,,,,,
kan,388,5639.0,1045.0,5.4,28.0,17,344.0,279,484,3306,25,11,6.5,172.0,535,2333,16,4.4,139.0,112,936,33.0,,,,,,,,,,,,,,,,,
mia,335,5445.0,1013.0,5.4,32.0,16,314.0,295,494,3247,21,16,6.3,176.0,498,2198,18,4.4,115.0,103,850,23.0,,,,,,,,,,,,,,,,,
min,335,4824.0,979.0,4.9,37.0,11,281.0,278,498,3100,24,26,5.8,159.0,440,1724,9,3.9,95.0,107,964,27.0,,,,,,,,,,,,,,,,,
nor,283,4350.0,924.0,4.7,48.0,18,270.0,246,489,2800,25,30,5.2,155.0,388,1550,6,4.0,81.0,84,685,34.0,,,,,,,,,,,,,,,,,
nwe,293,4877.0,1053.0,4.6,42.0,21,293.0,273,520,3099,17,21,5.5,159.0,490,1778,13,3.6,112.0,110,846,22.0,,,,,,,,,,,,,,,,,
nyg,312,4658.0,1056.0,4.4,34.0,14,275.0,292,508,2890,17,20,5.1,148.0,493,1768,14,3.6,97.0,97,802,30.0,,,,,,,,,,,,,,,,,
nyj,360,5041.0,993.0,5.1,29.0,11,300.0,260,488,3206,27,18,6.2,153.0,476,1835,15,3.9,117.0,96,881,30.0,,,,,,,,,,,,,,,,,
oti,349,4993.0,976.0,5.1,37.0,14,287.0,266,495,3145,25,23,5.9,153.0,446,1848,10,4.1,98.0,101,874,36.0,,,,,,,,,,,,,,,,,
phi,380,5249.0,1046.0,5.0,48.0,27,301.0,305,561,3606,29,21,5.8,186.0,428,1643,16,3.8,85.0,105,830,30.0,,,,,,,,,,,,,,,,,
pit,299,4920.0,962.0,5.1,44.0,17,289.0,290,481,3310,22,27,6.5,170.0,455,1610,8,3.5,94.0,95,771,25.0,,,,,,,,,,,,,,,,,
rai,289,4364.0,938.0,4.7,28.0,15,267.0,224,425,2727,18,13,5.8,135.0,469,1637,12,3.5,98.0,95,652,34.0,,,,,,,,,,,,,,,,,
ram,361,5121.0,961.0,5.3,27.0,11,279.0,281,504,3389,31,16,6.3,162.0,419,1732,8,4.1,95.0,100,888,22.0,,,,,,,,,,,,,,,,,
sdg,317,4953.0,1008.0,4.9,28.0,15,280.0,227,441,2782,19,13,5.7,136.0,522,2171,14,4.2,120.0,107,869,24.0,,,,,,,,,,,,,,,,,
sea,314,5159.0,954.0,5.4,38.0,21,297.0,255,445,2958,20,17,6.1,148.0,472,2201,14,4.7,133.0,104,890,16.0,,,,,,,,,,,,,,,,,
sfo,253,4095.0,933.0,4.4,38.0,13,250.0,224,467,2484,13,25,4.9,132.0,429,1611,8,3.8,95.0,80,660,23.0,,,,,,,,,,,,,,,,,
tam,360,4987.0,996.0,5.0,36.0,20,314.0,271,457,2949,23,16,5.9,163.0,500,2038,18,4.1,124.0,125,926,27.0,,,,,,,,,,,,,,,,,
was,285,5022.0,1021.0,4.9,34.0,11,296.0,276,527,3343,19,23,5.8,177.0,441,1679,10,3.8,104.0,97,801,15.0,,,,,,,,,,,,,,,,,
