Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2010,42,SFO,NFL,1,1,0,0,1.000,-5.8,-4.7,-1.1,,,,,3,1,0,Coach starting Week 17
2015,47,SFO,NFL,16,5,11,0,.313,-5.5,-6.0,0.5,,,,,4,8,2,
