Year,Age,Level,Employer,Role
1963,30,NFL,Los Angeles Rams,Defensive Line
1964,31,NFL,Los Angeles Rams,Defensive Line
1965,32,NFL,Los Angeles Rams,Defensive Line
1966,33,NFL,Los Angeles Rams,Defensive Line
1967,34,NFL,New York Giants,Defensive Line
1968,35,NFL,New York Giants,Defensive Line
1969,36,NFL,Minnesota Vikings,Defensive Line
1970,37,NFL,Minnesota Vikings,Defensive Line
1971,38,NFL,Minnesota Vikings,Defensive Line
1972,39,NFL,Minnesota Vikings,Defensive Line
1973,40,NFL,Minnesota Vikings,Defensive Line
1974,41,NFL,Minnesota Vikings,Defensive Line
1975,42,NFL,Minnesota Vikings,Defensive Line
1976,43,NFL,Seattle Seahawks,Head Coach
1977,44,NFL,Seattle Seahawks,Head Coach
1978,45,NFL,Seattle Seahawks,Head Coach
1979,46,NFL,Seattle Seahawks,Head Coach
1980,47,NFL,Seattle Seahawks,Head Coach
1981,48,NFL,Seattle Seahawks,Head Coach
1982,49,NFL,Seattle Seahawks,Head Coach
