Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1997,42,SFO,NFL,16,13,3,0,.813,5.1,2.4,2.7,2,1,1,.500,1,,,
1998,43,SFO,NFL,16,12,4,0,.750,10.6,8.8,1.8,2,1,1,.500,2,,,
1999,44,SFO,NFL,16,4,12,0,.250,-11.3,-4.5,-6.8,,,,,4,3,2,
2000,45,SFO,NFL,16,6,10,0,.375,-3.8,1.7,-5.5,,,,,4,6,1,
2001,46,SFO,NFL,16,12,4,0,.750,6.8,4.2,2.7,1,0,1,.000,2,4,2,
2002,47,SFO,NFL,16,10,6,0,.625,0.6,0.7,-0.1,2,1,1,.500,1,10,7,
2003,48,DET,NFL,16,5,11,0,.313,-5.8,-4.3,-1.6,,,,,4,2,0,
2004,49,DET,NFL,16,6,10,0,.375,-5.2,-3.8,-1.4,,,,,3,5,2,
2005,50,DET,NFL,11,4,7,0,.364,-6.7,-4.3,-2.4,,,,,3,4,1,Fired after week 12
