,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1960,44,Denver Broncos,AFL,14,4,9,1,.308,-5.3,-1.6,-3.7,,,,,4,
1,1961,45,Denver Broncos,AFL,14,3,11,0,.214,-11.3,-5.7,-5.6,,,,,3,
