Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1960,41,HOU,AFL,14,10,4,0,.714,5.9,2.4,3.5,1,1,0,1.000,1,AFL Champions
1961,42,HOU,AFL,5,1,3,1,.250,16.9,11.4,5.5,,,,,1,
