,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1951,NFL,New York Yanks,1,9,2,6th of 6,,241,382,-141,Phelan,,Celeri,Toth,Edwards,8,7,12,12,7,12,12,12,-11.8,2.3,-9.4,-0.9,-8.5
1,1950,NFL,New York Yanks,7,5,0,3rd of 7,,366,367,-1,Strader,,Ratterman,Toth,Edwards,2,2,11,12,4,7,11,13,-0.1,-3.5,-3.6,5.4,-8.9
2,1949,NFL,New York Bulldogs,1,10,1,5th of 5,,153,368,-215,Ewart,,Layne,Osmanski,Chipley,9,10,10,9,10,9,10,10,-17.9,1.3,-16.6,-9.0,-7.5
