,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2003,CIN,DC,32,15,10,21,21,13,13,5,10,13,19,14,5,15,12,7,10,15,28,28,23,21,25,26,30,23,13,24,22,20,27
1,2004,CIN,DC,32,14,14,15,20,18,10,24,18,17,13,14,8,11,17,13,28,20,19,21,3,21,26,12,22,3,21,13,17,7,12
2,2007,MIN,DC,32,14,13,10,18,13,15,19,6,1,1,1,26,32,28,29,6,19,20,12,9,4,1,3,2,5,32,32,15,20,18
3,2008,MIN,DC,32,10,24,13,9,17,12,27,3,5,14,6,29,28,25,11,23,19,6,13,15,2,1,6,2,8,22,18,5,21,13
4,2009,MIN,DC,32,4,8,3,4,5,2,3,9,13,6,22,17,10,8,1,1,7,6,10,22,1,2,1,6,6,18,19,23,26,16
5,2010,MIN,HC,32,20,29,25,17,23,29,29,12,10,7,9,17,21,26,28,32,28,8,18,17,15,9,10,9,13,14,9,21,17,13
6,,MIN,DC,32,20,29,25,17,23,29,29,12,10,7,9,17,21,26,28,32,28,8,18,17,15,9,10,9,13,14,9,21,17,13
7,2011,MIN,HC,32,30,19,28,24,18,19,19,13,4,3,2,16,24,28,18,21,27,21,31,20,19,11,6,6,1,16,26,32,31,25
8,2012,MIN,HC,32,9,17,13,19,20,14,12,8,2,9,1,21,28,31,25,8,30,16,14,22,16,11,8,7,8,30,24,23,27,10
9,2013,MIN,HC,32,25,28,23,29,13,14,29,18,8,1,2,28,20,23,27,20,21,31,32,27,19,16,18,13,23,31,31,32,24,23
10,2014,TAM,DC,32,31,26,28,31,30,29,31,31,29,27,24,25,21,25,20,31,29,25,25,14,27,19,24,7,10,21,28,22,14,26
11,2015,TAM,DC,32,22,22,25,7,5,20,22,8,5,15,2,28,22,17,22,22,8,10,26,16,29,11,20,2,9,7,16,25,21,19
12,2017,BUF,DC,32,11,7,21,29,29,22,6,4,6,15,14,7,31,31,27,8,27,26,18,9,26,29,32,25,19,29,20,2,6,19
13,2018,BUF,DC,32,22,23,28,18,30,30,30,6,9,11,21,15,28,31,32,31,31,2,18,8,22,16,25,10,7,2,1,8,7,3
14,2019,BUF,DC,32,8,10,10,9,24,23,11,6,8,18,14,5,24,26,24,15,21,3,2,10,7,10,9,18,14,16,4,2,8,3
15,2020,BUF,DC,32,2,10,5,8,2,2,20,17,20,15,20,24,11,3,3,9,4,14,16,3,12,17,27,26,4,22,13,9,7,9
