Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2010,51,MIN,NFL,6,3,3,0,.500,-1.6,-3.3,1.7,,,,,4,4,1,Coach starting Week 12
2011,52,MIN,NFL,16,3,13,0,.188,-5.7,-1.6,-4.1,,,,,4,7,5,
2012,53,MIN,NFL,16,10,6,0,.625,3.4,1.6,1.8,1,0,1,.000,2,3,2,
2013,54,MIN,NFL,16,5,10,1,.344,-6.6,0.2,-6.9,,,,,4,1,1,
