Year,Age,Level,Employer,Role
1914,23,College,Dubuque,Head Coach
1915,24,College,Dubuque,Head Coach
1916,25,College,Dubuque,Head Coach
1917,26,College,Dubuque,Head Coach
1918,27,College,Notre Dame,Backfield Coach
1919,28,College,Notre Dame,Backfield Coach
1920,29,College,Gonzaga,Head Coach
1921,30,College,Gonzaga,Head Coach
1922,31,College,Gonzaga,Head Coach
1923,32,College,Gonzaga,Head Coach
1924,33,College,Gonzaga,Head Coach
1925,34,College,Univ. of Detroit,Head Coach
1926,35,College,Univ. of Detroit,Head Coach
1927,36,College,Univ. of Detroit,Head Coach
1928,37,College,Univ. of Detroit,Head Coach
1929,38,College,Univ. of Detroit,Head Coach
1930,39,College,Univ. of Detroit,Head Coach
1931,40,College,Univ. of Detroit,Head Coach
1932,41,College,Univ. of Detroit,Head Coach
1933,42,College,Univ. of Detroit,Head Coach
1934,43,College,Univ. of Detroit,Head Coach
1935,44,College,Univ. of Detroit,Head Coach
1936,45,College,Univ. of Detroit,Head Coach
1937,46,College,Univ. of Detroit,Head Coach
1938,47,College,Univ. of Detroit,Head Coach
1939,48,College,Univ. of Detroit,Head Coach
1940,49,College,Univ. of Detroit,Head Coach
1941,50,College,Univ. of Detroit,Head Coach
1942,51,College,Univ. of Detroit,Head Coach
1943,52,NFL,Detroit Lions,Head Coach
1944,53,NFL,Detroit Lions,Head Coach
1945,54,NFL,Detroit Lions,Head Coach
1946,55,NFL,Detroit Lions,Head Coach
1947,56,NFL,Detroit Lions,Head Coach
1952,61,NFL,Pittsburgh Steelers,Backfield Coach
