Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1943,52,DET,NFL,10,3,6,1,.333,-2.6,-1.2,-1.4,,,,,3,
1944,53,DET,NFL,10,6,3,1,.667,3.4,1.3,2.1,,,,,2,
1945,54,DET,NFL,10,7,3,0,.700,0.7,0.4,0.3,,,,,2,
1946,55,DET,NFL,11,1,10,0,.091,-13.6,-5.1,-8.5,,,,,5,
1947,56,DET,NFL,12,3,9,0,.250,-3.3,-1.1,-2.3,,,,,5,
