Year,Age,Level,Employer,Role
1997,30,Arena,Nashville Kats,Offensive Coordinator
1998,31,Arena,Orlando Predators,Head Coach
1999,32,Arena,Orlando Predators,Head Coach
2000,33,Arena,Orlando Predators,Head Coach
2001,34,Arena,Orlando Predators,Head Coach
2002,35,NFL,Tampa Bay Buccaneers,Offensive Assistant
2003,36,NFL,Tampa Bay Buccaneers,Offensive Assistant
2004,37,NFL,Tampa Bay Buccaneers,Offensive Assistant
2005,38,NFL,Tampa Bay Buccaneers,Offensive Assistant
2006,39,NFL,Tampa Bay Buccaneers,Offensive Assistant
2007,40,NFL,Tampa Bay Buccaneers,Offensive Assistant
2008,41,NFL,Tampa Bay Buccaneers,Offensive Assistant
2009,42,UFL,Florida Tuskers,Offensive Coordinator
2010,43,UFL,Florida Tuskers,Head Coach/General Manager
2011,44,NFL,Cincinnati Bengals,Offensive Coordinator
2012,45,NFL,Cincinnati Bengals,Offensive Coordinator
2013,46,NFL,Cincinnati Bengals,Offensive Coordinator
2014,47,NFL,Washington Redskins,Head Coach
2015,48,NFL,Washington Redskins,Head Coach
2016,49,NFL,Washington Redskins,Head Coach
2017,50,NFL,Washington Redskins,Head Coach
2018,51,NFL,Washington Redskins,Head Coach
2019,52,NFL,Washington Redskins,Head Coach
2020,53,NFL,Jacksonville Jaguars,Offensive Coordinator
2022,55,NFL,Los Angeles Rams,Consultant
