Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2014,47,WAS,NFL,16,4,12,0,.250,-8.7,-4.0,-4.7,,,,,4,8,1,
2015,48,WAS,NFL,16,9,7,0,.563,-1.9,-0.2,-1.8,1,0,1,.000,1,4,2,
2016,49,WAS,NFL,16,8,7,1,.531,2.0,3.3,-1.3,,,,,3,5,3,
2017,50,WAS,NFL,16,7,9,0,.438,-1.3,0.5,-1.8,,,,,3,5,3,
2018,51,WAS,NFL,16,7,9,0,.438,-4.9,-5.6,0.6,,,,,3,3,2,
2019,52,WAS,NFL,5,0,5,0,.000,-10.8,-6.3,-4.5,,,,,4,2,1,Fired after Week 5
