,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1926,NFL,Detroit Panthers,4,6,2,12th of 22,,107,60,47,Conzelman,,,,,6,1,7,1,1,6,1,22,3.9,-2.6,1.3,-0.4,1.7
1,1925,NFL,Detroit Panthers,8,2,2,3rd of 20,,129,39,90,Conzelman,,,,,4,1,1,1,1,3,1,20,7.5,-8.4,-0.9,-2.5,1.6
