,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,467,6034,1114,5.4,23,5,347,355,556,3736,28,18,6.4,194,531,2298,24,4.3,129,104,842,24,195,41.5,10.8,Own 29.0,2:35,5.88,30.9,2.31,231,105,45.5%,19,10,52.6%,56,40,71.4%
1,2021,530,6919,1153,6.0,20,9,390,444,647,4800,40,11,7.1,248,473,2119,15,4.5,111,127,1103,31,192,43.8,9.9,Own 28.5,2:43,6.19,35.9,2.46,228,99,43.4%,24,14,58.3%,65,41,63.1%
2,2020,395,5949,1113,5.3,26,13,371,413,639,4161,25,13,6.1,231,430,1788,14,4.2,115,96,849,25,180,40.6,14.4,Own 28.5,2:31,6.41,32.9,2.08,215,87,40.5%,31,17,54.8%,54,27,50.0%
3,2019,434,6904,1069,6.5,18,7,379,388,597,4751,30,11,7.7,229,449,2153,18,4.8,120,109,1008,30,175,44.6,10.3,Own 26.3,2:42,6.34,39.4,2.43,204,96,47.1%,16,7,43.8%,54,31,57.4%
4,2018,339,5501,1022,5.4,17,9,322,356,527,3538,22,8,6.1,184,439,1963,13,4.5,113,104,885,25,169,37.9,10.1,Own 27.9,2:59,6.27,32.5,1.96,215,89,41.4%,21,12,57.1%,50,24,48.0%
5,2017,354,5311,1005,5.3,22,9,314,309,493,3141,22,13,6.0,162,480,2170,18,4.5,127,97,939,25,171,36.3,11.1,Own 29.9,2:50,6.09,31.1,2.02,203,87,42.9,19,10,52.6,52,31,59.6
6,2016,421,6027,1010,6.0,15,9,358,325,483,3631,25,6,7.1,191,499,2396,24,4.8,142,105,879,25,173,43.9,8.7,Own 28.8,2:57,6.04,34.8,2.45,189,80,42.3%,9,8,88.9%,57,38,66.7%
7,2015,275,5361,969,5.5,33,11,307,334,528,3471,16,22,6.2,175,408,1890,8,4.6,94,112,882,38,172,31.4,18.0,Own 24.5,2:54,5.82,31.1,1.50,191,66,34.6%,16,8,50.0%,45,20,44.4%
8,2014,467,6138,1014,6.1,25,14,342,328,476,3784,37,11,7.5,205,508,2354,16,4.6,106,105,839,31,179,43.6,12.8,Own 28.9,2:56,5.83,34.1,2.49,201,95,47.3%,6,3,50.0%,51,33,64.7%
9,2013,439,5458,957,5.7,20,8,325,375,586,3954,33,12,6.4,213,336,1504,12,4.5,80,102,867,32,183,39.9,9.8,Own 29.7,2:32,5.39,29.7,2.18,180,63,35.0%,6,4,66.7%,51,35,68.6%
