,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2022,WildCard,Mon,"January 16, 2023",boxscore,W,,@,Tampa Bay Buccaneers,31,14,26,425,297,128,,24,386,334,52,1,,,
1,2022,Division,Sun,"January 22, 2023",boxscore,L,,@,San Francisco 49ers,12,19,15,282,206,76,2,21,312,199,113,1,,,
2,2021,WildCard,Sun,"January 16, 2022",boxscore,L,,,San Francisco 49ers,17,23,20,307,230,77,1,21,341,172,169,1,,,
3,2018,WildCard,Sat,"January 5, 2019",boxscore,W,,,Seattle Seahawks,24,22,23,380,216,164,1,11,299,226,73,,,,
4,2018,Division,Sat,"January 12, 2019",boxscore,L,,@,Los Angeles Rams,22,30,19,308,258,50,,30,459,186,273,,,,
5,2016,Division,Sun,"January 15, 2017",boxscore,L,,,Green Bay Packers,31,34,25,429,291,138,1,27,413,326,87,1,,,
6,2014,WildCard,Sun,"January 4, 2015",boxscore,W,,,Detroit Lions,24,20,18,315,242,73,1,19,397,307,90,3,,,
7,2014,Division,Sun,"January 11, 2015",boxscore,L,,@,Green Bay Packers,21,26,21,315,170,145,1,23,416,297,119,1,,,
8,2009,WildCard,Sat,"January 9, 2010",boxscore,W,,,Philadelphia Eagles,34,14,27,426,228,198,1,17,340,284,56,4,,,
9,2009,Division,Sun,"January 17, 2010",boxscore,L,,@,Minnesota Vikings,3,34,16,248,156,92,3,16,323,214,109,,,,
10,2007,Division,Sun,"January 13, 2008",boxscore,L,,,New York Giants,17,21,23,336,182,154,1,16,230,140,90,,,,
11,2006,WildCard,Sat,"January 6, 2007",boxscore,L,,@,Seattle Seahawks,20,21,14,284,168,116,1,19,332,240,92,2,,,
12,2003,WildCard,Sat,"January 3, 2004",boxscore,L,,@,Carolina Panthers,10,29,10,204,132,72,2,16,380,273,107,,,,
13,1999,WildCard,Sun,"January 9, 2000",boxscore,L,,@,Minnesota Vikings,10,27,18,389,278,111,3,20,374,199,175,,,,
14,1998,WildCard,Sat,"January 2, 1999",boxscore,L,,,Arizona Cardinals,7,20,20,260,164,96,3,14,346,213,133,2,,,
15,1996,WildCard,Sat,"December 28, 1996",boxscore,W,,,Minnesota Vikings,40,15,27,438,183,255,2,12,268,205,63,6,,,
16,1996,Division,Sun,"January 5, 1997",boxscore,L,,@,Carolina Panthers,17,26,21,244,148,96,3,18,227,100,127,2,,,
17,1995,Division,Sun,"January 7, 1996",boxscore,W,,,Philadelphia Eagles,30,11,21,397,244,153,1,13,227,153,74,1,,,
18,1995,ConfChamp,Sun,"January 14, 1996",boxscore,W,,,Green Bay Packers,38,27,27,419,250,169,,17,328,280,48,2,,,
19,1995,SuperBowl,Sun,"January 28, 1996",boxscore,W,,N,Pittsburgh Steelers,27,17,15,254,198,56,,25,310,207,103,3,,,
20,1994,Division,Sun,"January 8, 1995",boxscore,W,,,Green Bay Packers,35,9,27,450,330,120,2,18,327,228,99,1,,,
21,1994,ConfChamp,Sun,"January 15, 1995",boxscore,L,,@,San Francisco 49ers,28,38,29,451,352,99,5,19,294,155,139,1,,,
22,1993,Division,Sun,"January 16, 1994",boxscore,W,,,Green Bay Packers,27,17,23,381,284,97,3,19,358,327,31,4,,,
23,1993,ConfChamp,Sun,"January 23, 1994",boxscore,W,,,San Francisco 49ers,38,21,24,377,253,124,,24,359,275,84,1,,,
24,1993,SuperBowl,Sun,"January 30, 1994",boxscore,W,,N,Buffalo Bills,30,13,20,341,204,137,1,22,314,227,87,3,,,
25,1992,Division,Sun,"January 10, 1993",boxscore,W,,,Philadelphia Eagles,34,10,22,346,186,160,1,12,178,115,63,2,,,
26,1992,ConfChamp,Sun,"January 17, 1993",boxscore,W,,@,San Francisco 49ers,30,20,24,416,295,121,,24,415,301,114,4,,,
27,1992,SuperBowl,Sun,"January 31, 1993",boxscore,W,,N,Buffalo Bills,52,17,20,408,271,137,1,22,362,254,108,9,,,
28,1991,WildCard,Sun,"December 29, 1991",boxscore,W,,@,Chicago Bears,17,13,15,288,180,108,,26,372,222,150,3,,,
29,1991,Division,Sun,"January 5, 1992",boxscore,L,,@,Detroit Lions,6,38,16,276,179,97,4,23,421,337,84,,,,
30,1985,Division,Sat,"January 4, 1986",boxscore,L,,@,Los Angeles Rams,0,20,15,243,182,61,6,15,316,47,269,2,,,
31,1983,WildCard,Mon,"December 26, 1983",boxscore,L,,,Los Angeles Rams,17,24,24,363,300,63,4,19,243,149,94,,,,
32,1982,WildCard,Sun,"January 9, 1983",boxscore,W,,,Tampa Bay Buccaneers,30,17,29,456,277,179,3,8,218,113,105,3,,,
33,1982,Division,Sun,"January 16, 1983",boxscore,W,,,Green Bay Packers,37,26,24,375,266,109,2,21,466,308,158,5,,,
34,1982,ConfChamp,Sat,"January 22, 1983",boxscore,L,,@,Washington Redskins,17,31,21,340,275,65,3,18,260,123,137,,,,
35,1981,Division,Sat,"January 2, 1982",boxscore,W,,,Tampa Bay Buccaneers,38,0,26,345,133,212,,12,222,148,74,4,,,
36,1981,ConfChamp,Sun,"January 10, 1982",boxscore,L,,@,San Francisco 49ers,27,28,16,250,135,115,3,26,393,266,127,6,,,
37,1980,WildCard,Sun,"December 28, 1980",boxscore,W,,,Los Angeles Rams,34,13,29,528,190,338,3,15,260,168,92,3,,,
38,1980,Division,Sun,"January 4, 1981",boxscore,W,,@,Atlanta Falcons,30,27,22,422,310,112,2,18,371,285,86,2,,,
39,1980,ConfChamp,Sun,"January 11, 1981",boxscore,L,,@,Philadelphia Eagles,7,20,11,206,116,90,4,19,340,77,263,2,,,
40,1979,Division,Sun,"December 30, 1979",boxscore,L,,,Los Angeles Rams,19,21,17,280,124,156,1,16,361,202,159,2,,,
41,1978,Division,Sat,"December 30, 1978",boxscore,W,,,Atlanta Falcons,27,20,26,369,221,148,4,16,216,52,164,3,,,
42,1978,ConfChamp,Sun,"January 7, 1979",boxscore,W,,@,Los Angeles Rams,28,0,16,235,109,126,3,15,277,196,81,7,,,
43,1978,SuperBowl,Sun,"January 21, 1979",boxscore,L,,N,Pittsburgh Steelers,31,35,20,330,176,154,3,19,357,291,66,3,,,
44,1977,Division,Mon,"December 26, 1977",boxscore,W,,,Chicago Bears,37,7,20,365,132,233,3,15,224,143,81,7,,,
45,1977,ConfChamp,Sun,"January 1, 1978",boxscore,W,,,Minnesota Vikings,23,6,16,328,158,170,2,12,214,148,66,4,,,
46,1977,SuperBowl,Sun,"January 15, 1978",boxscore,W,,N,Denver Broncos,27,10,17,325,182,143,2,11,156,35,121,8,,,
47,1976,Division,Sun,"December 19, 1976",boxscore,L,,,Los Angeles Rams,12,14,14,211,126,85,4,17,250,130,120,3,,,
48,1975,Division,Sun,"December 28, 1975",boxscore,W,,@,Minnesota Vikings,17,14,19,356,225,131,1,12,215,100,115,1,,,
49,1975,ConfChamp,Sun,"January 4, 1976",boxscore,W,,@,Los Angeles Rams,37,7,24,441,246,195,1,9,118,96,22,3,,,
50,1975,SuperBowl,Sun,"January 18, 1976",boxscore,L,,N,Pittsburgh Steelers,17,21,14,270,162,108,3,13,339,190,149,,,,
51,1973,Division,Sun,"December 23, 1973",boxscore,W,,,Los Angeles Rams,27,16,15,298,136,162,4,11,192,99,93,3,,,
52,1973,ConfChamp,Sun,"December 30, 1973",boxscore,L,,,Minnesota Vikings,10,27,9,153,63,90,6,20,306,103,203,4,,,
53,1972,Division,Sat,"December 23, 1972",boxscore,W,,@,San Francisco 49ers,30,28,22,402,237,165,5,13,255,150,105,3,,,
54,1972,ConfChamp,Sun,"December 31, 1972",boxscore,L,,@,Washington Redskins,3,26,8,169,73,96,1,16,316,194,122,1,,,
55,1971,Division,Sat,"December 25, 1971",boxscore,W,,@,Minnesota Vikings,20,12,10,183,85,98,,17,311,210,101,5,,,
56,1971,ConfChamp,Sun,"January 2, 1972",boxscore,W,,,San Francisco 49ers,14,3,16,244,72,172,1,9,239,178,61,3,,,
57,1971,SuperBowl,Sun,"January 16, 1972",boxscore,W,,N,Miami Dolphins,24,3,23,352,100,252,1,10,185,105,80,3,,,
58,1970,Division,Sat,"December 26, 1970",boxscore,W,,,Detroit Lions,5,0,14,231,22,209,1,7,156,80,76,3,,,
59,1970,ConfChamp,Sun,"January 3, 1971",boxscore,W,,@,San Francisco 49ers,17,10,22,319,90,229,,15,307,246,61,2,,,
60,1970,SuperBowl,Sun,"January 17, 1971",boxscore,L,,N,Baltimore Colts,13,16,9,217,113,104,4,14,329,260,69,7,,,
61,1969,Division,Sun,"December 28, 1969",boxscore,L,,,Cleveland Browns,14,38,17,217,117,100,3,22,344,247,97,,,,
62,1968,Division,Sat,"December 21, 1968",boxscore,L,,@,Cleveland Browns,20,31,13,286,200,86,4,12,280,178,102,2,,,
63,1967,Division,Sun,"December 24, 1967",boxscore,W,,,Cleveland Browns,52,14,22,401,223,178,2,15,322,163,159,1,,,
64,1967,ConfChamp,Sun,"December 31, 1967",boxscore,L,,@,Green Bay Packers,17,21,11,192,100,92,2,18,195,115,80,2,,,
65,1966,ConfChamp,Sun,"January 1, 1967",boxscore,L,,,Green Bay Packers,27,34,23,418,231,187,2,19,367,265,102,1,,,
