,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,342,5613,1101,5.1,33,17,327,345,550,3415,23,16,5.7,174,497,2198,9,4.4,119,98,851,34,197,33.5,16.2,Own 29.2,2:40,5.8,28.4,1.65,231,87,37.7%,22,12,54.5%,50,26,52.0%
1,2021,358,5967,1082,5.5,34,8,327,364,612,4049,24,26,6.2,191,429,1918,13,4.5,99,121,973,37,203,32.5,16.7,Own 27.1,2:31,5.5,29.3,1.70,223,76,34.1%,26,16,61.5%,47,28,59.6%
2,2020,473,6183,1054,5.9,23,13,359,328,513,3642,34,10,6.7,180,510,2541,20,5.0,142,91,733,37,181,43.1,12.2,Own 30.8,2:48,6.0,34.1,2.49,209,98,46.9%,21,10,47.6%,55,34,61.8%
3,2019,321,5232,1015,5.2,17,10,327,370,569,3576,21,7,5.9,188,407,1656,14,4.1,101,102,855,38,173,35.3,9.8,Own 30.2,2:49,6.1,30.2,1.87,201,67,33.3%,22,10,45.5%,57,29,50.9%
4,2018,324,5268,981,5.4,20,11,309,367,542,3755,22,9,6.5,193,400,1513,12,3.8,89,89,681,27,167,36.5,12.0,Own 30.0,2:50,6.0,31.3,1.91,201,85,42.3%,14,6,42.9%,49,25,51.0%
5,2017,332,5089,1000,5.1,21,11,312,371,559,3425,28,10,5.7,181,403,1664,7,4.1,96,107,880,35,171,31.6,10.5,Own 25.8,2:47,6.0,29.6,1.77,210,90,42.9,13,4,30.8,49,28,57.1
6,2016,306,5503,1009,5.5,20,11,330,425,633,4167,25,9,6.2,226,340,1336,9,3.9,79,90,784,25,168,35.1,11.3,Own 28.6,2:43,6.2,32.7,1.86,197,77,39.1%,14,9,64.3%,54,29,53.7%
7,2015,374,5567,997,5.6,11,3,317,330,506,3636,19,8,6.8,172,460,1931,16,4.2,113,113,900,32,177,36.7,5.6,Own 28.6,2:38,5.8,31.5,1.89,208,81,38.9%,10,5,50.0%,49,25,51.0%
8,2014,352,5681,978,5.8,31,13,315,371,558,4031,22,18,6.9,195,392,1650,18,4.2,86,104,861,34,179,31.3,16.8,Own 26.9,2:30,5.6,31.7,1.83,204,89,43.6%,20,10,50.0%,49,30,61.2%
9,2013,432,6645,1094,6.1,28,13,388,403,623,4589,33,15,7.0,231,437,2056,17,4.7,122,112,875,35,189,39.7,13.8,Own 27.1,2:37,5.9,35.1,2.25,210,91,43.3%,18,9,50.0%,62,40,64.5%
