Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1963,34,OAK,AFL,14,10,4,0,.714,5.1,2.4,2.7,,,,,2,
1964,35,OAK,AFL,14,5,7,2,.417,-2.9,-1.4,-1.6,,,,,3,
1965,36,OAK,AFL,14,8,5,1,.615,3.7,-0.8,4.5,,,,,2,
