,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1989,DAL,DC,28,28,28,28,26,27,28,25,27,24,27,15,15,14,27,24,25,26,20,24,28,27,18,21,6,26,9,20,14,28,24
1,1990,DAL,DC,28,15,16,21,20,28,26,17,22,23,14,22,2,14,27,28,26,27,10,15,16,20,18,23,15,2,11,2,2,25,2
2,1991,DAL,DC,28,5,14,10,13,9,7,5,16,13,12,14,4,14,8,14,4,7,17,17,25,7,8,12,14,21,25,23,11,22,20
3,1992,DAL,DC,28,2,7,2,1,4,2,4,4,5,2,9,2,12,5,5,6,3,1,5,18,1,1,11,3,13,16,5,8,17,4
4,1993,CHI,HC,28,18,14,14,26,28,24,11,7,19,15,25,16,28,28,28,13,26,4,3,14,19,17,10,15,18,13,3,2,12,2
5,1994,CHI,HC,28,9,20,18,15,23,24,9,6,15,20,26,6,20,21,16,12,19,13,10,25,10,24,8,28,22,9,5,5,22,5
6,1995,CHI,HC,30,9,9,9,12,9,8,8,6,9,11,15,22,21,12,4,1,2,19,22,18,8,5,5,5,15,24,27,23,17,24
7,1996,CHI,HC,30,19,14,19,14,21,26,10,11,16,19,18,4,10,19,17,15,21,12,12,18,9,11,18,16,20,12,14,13,16,17
8,1997,CHI,HC,30,26,26,29,11,17,28,27,7,16,12,24,28,3,15,26,25,26,12,29,11,8,19,27,27,2,4,11,25,21,20
9,1998,CHI,HC,30,25,22,24,18,21,25,24,14,17,22,20,30,20,23,23,5,17,14,23,17,18,19,14,14,7,3,15,25,19,27
10,1999,MIA,DC,31,9,23,21,6,20,13,21,13,22,25,28,18,4,13,17,24,20,5,19,20,10,8,2,7,21,4,5,7,14,7
11,2000,MIA,HC,31,5,5,8,20,26,16,9,8,14,7,23,2,31,27,24,18,16,6,3,4,10,14,6,18,13,14,5,5,1,4
12,2001,MIA,HC,31,6,26,9,12,21,8,27,8,23,9,29,30,29,19,12,18,4,5,11,16,17,17,7,14,20,3,1,19,14,10
13,2002,MIA,HC,32,11,15,5,7,15,12,17,1,2,3,4,22,31,26,24,12,13,3,4,11,8,5,4,6,25,10,8,13,5,7
14,2003,MIA,HC,32,8,10,12,19,24,17,27,8,17,14,27,25,30,26,20,21,17,10,3,6,11,5,10,2,5,24,19,2,7,16
15,2004,MIA,HC,32,30,29,26,25,29,28,32,29,31,19,32,27,3,21,20,32,29,8,20,23,32,31,13,18,22,1,2,13,19,6
16,2012,BUF,DC,32,23,27,25,22,19,21,28,13,6,13,4,29,23,25,13,22,20,22,26,23,25,31,32,30,20,11,10,17,20,14
