Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1985,NYJ,OC,28,4,2,3,3,4,7,1,5,7,11,13,24,20,9,7,1,5,8,3,7,4,3,5,2,5,13,16,5,12,15
1986,NYJ,OC,28,8,13,17,24,11,11,15,11,18,10,23,13,12,9,4,16,10,26,22,10,6,6,9,7,8,27,28,28,14,26
1987,NYJ,OC,28,19,18,17,19,20,14,12,21,22,5,23,20,5,16,19,4,26,19,20,21,17,16,17,14,24,15,20,25,15,20
1988,NYJ,OC,28,15,3,12,21,13,6,3,9,8,6,10,16,8,19,15,1,23,23,21,5,22,21,14,19,10,7,23,26,4,27
1989,NYJ,OC,28,26,25,26,24,17,26,21,24,22,20,12,19,6,12,24,21,24,27,25,25,24,24,19,21,27,16,25,28,24,26
1990,PHI,OC,28,8,8,6,3,3,3,8,3,1,21,2,17,13,13,2,8,14,12,12,16,1,1,6,2,20,28,25,22,9,13
1991,PHI,HC,28,9,8,9,6,25,18,26,13,21,22,28,18,7,20,12,27,24,1,5,1,4,1,1,1,1,6,1,7,3,1
1992,PHI,HC,28,4,5,5,8,7,5,7,3,2,4,2,16,24,23,8,4,22,6,6,6,5,5,1,11,16,26,12,16,3,5
1993,PHI,HC,28,14,13,19,18,15,17,18,11,15,24,15,28,7,16,5,8,23,17,19,7,18,24,15,27,8,5,8,21,8,19
1994,PHI,HC,28,17,6,12,9,14,17,9,15,9,7,4,13,9,14,18,5,25,4,11,5,17,11,11,13,7,3,6,11,7,9
1995,NYJ,HC,30,30,28,30,25,30,30,29,28,30,30,27,27,11,28,18,28,30,6,26,9,30,25,20,12,5,2,1,14,12,2
1996,NYJ,HC,30,30,30,30,21,11,27,30,26,23,24,13,28,1,10,12,29,24,27,29,22,30,29,28,24,6,1,19,30,27,28
