Year,Age,Level,Employer,Role
1977,35,NFL,New Orleans Saints,Tight Ends
1978,36,NFL,Cleveland Browns,Wide Receivers
1979,37,NFL,Cleveland Browns,Wide Receivers
1980,38,NFL,Cleveland Browns,Wide Receivers
1981,39,NFL,Cleveland Browns,Wide Receivers
1982,40,NFL,Cleveland Browns,Wide Receivers
1983,41,NFL,New York Jets,Wide Receivers
1984,42,NFL,New York Jets,Wide Receivers
1985,43,NFL,New York Jets,Offensive Coordinator
1986,44,NFL,New York Jets,Offensive Coordinator
1987,45,NFL,New York Jets,Offensive Coordinator
1988,46,NFL,New York Jets,Offensive Coordinator
1989,47,NFL,New York Jets,Offensive Coordinator
1990,48,NFL,Philadelphia Eagles,Offensive Coordinator
1991,49,NFL,Philadelphia Eagles,Head Coach
1992,50,NFL,Philadelphia Eagles,Head Coach
1993,51,NFL,Philadelphia Eagles,Head Coach
1994,52,NFL,Philadelphia Eagles,Head Coach
1995,53,NFL,New York Jets,Head Coach
1996,54,NFL,New York Jets,Head Coach
