,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,156,2374,469,5.1,6,2,150,153,226,1450,8,4,5.9,78,224,924,7,4.1,59,47,466,13,74,40.5,8.1,Own 28.3,3:06,6.6,32.1,2.03,102,40,39.2,12,9,75.0,26,12,46.2
1,2022,371,5721,991,5.8,24,7,321,314,478,3349,22,17,6.5,163,479,2372,18,5.0,129,100,916,29,173,38.2,13.9,Own 28.9,2:51,5.9,33.0,2.07,194,73,37.6%,19,11,57.9%,54,29,53.7%
2,2021,371,5579,1037,5.4,26,8,337,379,603,3724,31,18,5.8,194,395,1855,13,4.7,120,88,718,23,172,36.6,14.0,Own 27.7,2:42,6.1,32.1,2.12,203,87,42.9%,33,15,45.5%,49,33,67.3%
3,2020,369,5344,974,5.5,18,7,332,346,536,3539,23,11,6.1,184,397,1805,16,4.5,119,79,734,29,158,39.9,11.4,Own 28.6,2:48,6.3,33.8,2.18,185,73,39.5%,24,14,58.3%,52,30,57.7%
4,2019,313,5642,998,5.7,25,8,310,326,546,3721,19,17,6.3,191,411,1921,15,4.7,99,97,968,20,178,34.3,14.0,Own 28.0,2:34,5.8,31.7,1.79,197,75,38.1%,18,8,44.4%,48,24,50.0%
5,2018,400,5670,1017,5.6,15,8,331,336,527,3752,30,7,6.6,199,446,1918,15,4.3,100,97,792,32,182,37.9,8.2,Own 31.3,2:42,5.8,31.0,2.15,212,79,37.3%,18,12,66.7%,56,34,60.7%
6,2017,384,5582,1014,5.5,22,11,331,348,513,3789,30,11,6.9,211,464,1793,10,3.9,95,94,832,25,174,40.2,11.5,Own 30.4,2:55,6.0,31.9,2.13,208,89,42.8,10,8,80.0,46,30,65.2
7,2016,388,5823,987,5.9,25,8,329,370,571,4308,32,17,7.1,227,376,1515,11,4.0,80,109,964,22,173,41.0,13.9,Own 28.7,2:40,5.9,33.7,2.25,199,82,41.2%,18,12,66.7%,45,28,62.2%
8,2015,323,5547,1014,5.5,22,6,300,321,551,3642,20,16,6.1,183,420,1905,13,4.5,96,120,1107,21,182,31.3,11.5,Own 26.5,2:37,5.7,30.4,1.66,220,79,35.9%,21,10,47.6%,49,28,57.1%
9,2014,348,5542,1054,5.3,27,9,339,333,564,3623,26,18,6.0,196,449,1919,11,4.3,116,104,945,27,175,33.1,14.9,Own 27.5,2:42,6.2,31.6,1.84,206,83,40.3%,28,15,53.6%,48,27,56.3%
10,2013,428,5956,1015,5.9,22,11,330,332,539,3956,30,11,6.8,190,432,2000,16,4.6,116,99,883,24,180,38.9,12.2,Own 28.7,2:40,5.8,33.1,2.19,204,78,38.2%,17,10,58.8%,57,35,61.4%
