Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
2024,WildCard,Sun,"January 12, 2025",boxscore,L,,@,Philadelphia Eagles,10,22,17,302,195,107,4,16,290,121,169,,,,
2023,WildCard,Sun,"January 14, 2024",boxscore,W,,@,Dallas Cowboys,48,32,22,415,272,143,,37,510,387,123,2,,,
2023,Division,Sat,"January 20, 2024",boxscore,L,,@,San Francisco 49ers,21,24,20,330,194,136,2,19,356,245,111,,,,
2021,Division,Sat,"January 22, 2022",boxscore,L,,,San Francisco 49ers,10,13,14,263,196,67,1,12,212,106,106,1,,,
2020,Division,Sat,"January 16, 2021",boxscore,W,,,Los Angeles Rams,32,18,28,484,296,188,,17,244,148,96,,,,
2020,ConfChamp,Sun,"January 24, 2021",boxscore,L,,,Tampa Bay Buccaneers,26,31,23,381,314,67,2,19,351,275,76,3,,,
2019,Division,Sun,"January 12, 2020",boxscore,W,,,Seattle Seahawks,28,23,22,344,235,109,,23,375,265,110,,,,
2019,ConfChamp,Sun,"January 19, 2020",boxscore,L,,@,San Francisco 49ers,20,37,21,358,296,62,3,19,354,69,285,,,,
2016,WildCard,Sun,"January 8, 2017",boxscore,W,,,New York Giants,38,13,23,406,331,75,,15,365,295,70,2,,,
2016,Division,Sun,"January 15, 2017",boxscore,W,,@,Dallas Cowboys,34,31,27,413,326,87,1,25,429,291,138,1,,,
2016,ConfChamp,Sun,"January 22, 2017",boxscore,L,,@,Atlanta Falcons,21,44,24,367,268,99,2,30,493,392,101,,,,
2015,WildCard,Sun,"January 10, 2016",boxscore,W,,@,Washington Redskins,35,18,24,346,205,141,1,20,354,270,84,1,,,
2015,Division,Sat,"January 16, 2016",boxscore,L,OT,@,Arizona Cardinals,20,26,18,386,251,135,1,20,368,328,40,2,,,
2014,Division,Sun,"January 11, 2015",boxscore,W,,,Dallas Cowboys,26,21,23,416,297,119,1,21,315,170,145,1,,,
2014,ConfChamp,Sun,"January 18, 2015",boxscore,L,OT,@,Seattle Seahawks,22,28,19,306,171,135,2,20,397,203,194,5,,,
2013,WildCard,Sun,"January 5, 2014",boxscore,L,,,San Francisco 49ers,20,23,18,281,157,124,,22,381,214,167,1,,,
2012,WildCard,Sat,"January 5, 2013",boxscore,W,,,Minnesota Vikings,24,10,20,326,250,76,,17,324,157,167,3,,,
2012,Division,Sat,"January 12, 2013",boxscore,L,,@,San Francisco 49ers,31,45,20,352,248,104,2,29,579,256,323,1,,,
2011,Division,Sun,"January 15, 2012",boxscore,L,,,New York Giants,20,37,25,388,241,147,4,19,420,325,95,1,,,
2010,WildCard,Sun,"January 9, 2011",boxscore,W,,@,Philadelphia Eagles,21,16,20,309,171,138,2,18,352,271,81,1,,,
2010,Division,Sat,"January 15, 2011",boxscore,W,,@,Atlanta Falcons,48,21,28,442,346,96,1,15,194,149,45,4,,,
2010,ConfChamp,Sun,"January 23, 2011",boxscore,W,,@,Chicago Bears,21,14,23,356,236,120,2,17,301,218,83,3,,,
2010,SuperBowl,Sun,"February 6, 2011",boxscore,W,,N,Pittsburgh Steelers,31,25,15,338,288,50,,19,387,261,126,3,,,
2009,WildCard,Sun,"January 10, 2010",boxscore,L,OT,@,Arizona Cardinals,45,51,32,493,404,89,3,30,531,375,156,1,,,
2007,Division,Sat,"January 12, 2008",boxscore,W,,,Seattle Seahawks,42,20,25,408,173,235,2,15,200,172,28,1,,,
2007,ConfChamp,Sun,"January 20, 2008",boxscore,L,OT,,New York Giants,20,23,13,264,236,28,2,24,377,243,134,1,,,
2004,WildCard,Sun,"January 9, 2005",boxscore,L,,,Minnesota Vikings,17,31,24,306,201,105,4,18,384,261,123,,,,
2003,WildCard,Sun,"January 4, 2004",boxscore,W,OT,,Seattle Seahawks,33,27,22,397,319,78,,22,340,291,49,1,,,
2003,Division,Sun,"January 11, 2004",boxscore,L,OT,@,Philadelphia Eagles,17,20,16,381,171,210,1,19,363,199,164,1,,,
2002,WildCard,Sat,"January 4, 2003",boxscore,L,,,Atlanta Falcons,7,27,17,289,233,56,5,21,309,117,192,,,,
2001,WildCard,Sun,"January 13, 2002",boxscore,W,,,San Francisco 49ers,25,15,21,368,262,106,1,19,290,219,71,2,,,
2001,Division,Sun,"January 20, 2002",boxscore,L,,@,St. Louis Rams,17,45,19,383,265,118,8,13,292,201,91,1,,,
1998,WildCard,Sun,"January 3, 1999",boxscore,L,,@,San Francisco 49ers,27,30,24,403,282,121,4,20,347,169,178,3,,,
1997,Division,Sun,"January 4, 1998",boxscore,W,,,Tampa Bay Buccaneers,21,7,16,289,171,118,3,15,263,173,90,2,,,
1997,ConfChamp,Sun,"January 11, 1998",boxscore,W,,@,San Francisco 49ers,23,10,19,325,219,106,,15,257,224,33,2,,,
1997,SuperBowl,Sun,"January 25, 1998",boxscore,L,,N,Denver Broncos,24,31,21,350,255,95,3,21,302,123,179,2,,,
1996,Division,Sat,"January 4, 1997",boxscore,W,,,San Francisco 49ers,35,14,15,210,71,139,1,12,196,128,68,5,,,
1996,ConfChamp,Sun,"January 12, 1997",boxscore,W,,,Carolina Panthers,30,13,22,479,278,201,2,12,251,206,45,3,,,
1996,SuperBowl,Sun,"January 26, 1997",boxscore,W,,N,New England Patriots,35,21,16,323,208,115,,16,257,214,43,4,,,
1995,WildCard,Sun,"December 31, 1995",boxscore,W,,,Atlanta Falcons,37,20,23,307,190,117,,18,360,339,21,2,,,
1995,Division,Sat,"January 6, 1996",boxscore,W,,@,San Francisco 49ers,27,17,18,368,294,74,,26,395,308,87,4,,,
1995,ConfChamp,Sun,"January 14, 1996",boxscore,L,,@,Dallas Cowboys,27,38,17,328,280,48,2,27,419,250,169,,,,
1994,WildCard,Sat,"December 31, 1994",boxscore,W,,,Detroit Lions,16,12,18,336,255,81,,9,171,175,-4,,,,
1994,Division,Sun,"January 8, 1995",boxscore,L,,@,Dallas Cowboys,9,35,18,327,228,99,1,27,450,330,120,2,,,
1993,WildCard,Sat,"January 8, 1994",boxscore,W,,@,Detroit Lions,28,24,16,293,204,89,1,25,410,235,175,2,,,
1993,Division,Sun,"January 16, 1994",boxscore,L,,@,Dallas Cowboys,17,27,19,358,327,31,4,23,381,284,97,3,,,
1982,WildCard,Sat,"January 8, 1983",boxscore,W,,,St. Louis Cardinals,41,16,22,394,286,108,1,27,453,347,106,4,,,
1982,Division,Sun,"January 16, 1983",boxscore,L,,@,Dallas Cowboys,26,37,21,466,308,158,5,24,375,266,109,2,,,
1972,Division,Sun,"December 24, 1972",boxscore,L,,@,Washington Redskins,3,16,10,211,133,78,1,13,232,94,138,1,,,
1967,Division,Sat,"December 23, 1967",boxscore,W,,,Los Angeles Rams,28,7,20,374,211,163,4,12,217,142,75,1,,,
1967,ConfChamp,Sun,"December 31, 1967",boxscore,W,,,Dallas Cowboys,21,17,18,195,115,80,2,11,192,100,92,2,,,
1967,SuperBowl,Sun,"January 14, 1968",boxscore,W,,N,Oakland Raiders,33,14,19,322,162,160,,16,293,186,107,3,,,
