Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2008,50,SFO,NFL,9,5,4,0,.556,-5.3,-2.9,-2.4,,,,,2,4,1,Coach starting Week 8
2009,51,SFO,NFL,16,8,8,0,.500,0.1,-2.9,3.0,,,,,2,8,4,
2010,52,SFO,NFL,15,5,10,0,.333,-5.8,-4.7,-1.1,,,,,3,6,4,Fired after Week 16
