,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1995,DAL,DC,30,2,11,2,4,5,3,5,4,2,1,4,13,28,13,22,1,1,9,3,24,14,16,14,18,29,6,8,7,8,13
1,1996,DAL,DC,30,6,9,10,10,24,25,12,9,18,10,22,25,23,20,28,6,9,3,3,12,12,9,9,8,7,3,2,1,14,8
2,1997,DAL,DC,30,22,22,17,8,20,22,11,22,20,28,15,9,9,20,18,9,22,2,13,30,27,24,12,15,18,3,1,11,30,3
3,1998,DAL,DC,30,8,3,6,11,8,9,1,6,8,2,14,5,26,9,20,1,5,18,3,19,8,12,10,17,13,24,22,11,19,21
4,1999,DAL,DC,31,12,6,5,9,16,11,5,6,6,5,8,8,26,24,17,2,16,9,5,10,13,6,2,4,25,16,13,7,6,15
5,2000,DAL,HC,31,24,28,24,25,25,23,28,13,12,9,13,28,28,28,25,25,21,19,22,20,29,31,25,31,25,1,3,15,18,12
6,2001,DAL,HC,31,26,24,27,19,29,30,22,3,3,26,7,23,31,31,27,20,29,4,20,23,23,13,19,8,5,6,3,16,30,11
7,2002,DAL,HC,32,27,20,28,28,30,31,24,22,19,30,15,27,28,31,31,17,30,18,13,11,24,15,5,3,17,28,19,17,8,13
8,2003,CLE,DC,32,23,28,24,25,26,29,26,27,20,26,15,25,21,25,20,18,24,15,12,25,20,23,20,26,29,11,7,3,14,5
9,2004,CLE,DC,32,30,26,30,28,28,27,30,16,23,31,27,30,29,25,16,26,19,15,24,17,30,32,31,21,9,3,5,4,19,11
