Year,Age,Level,Employer,Role
1971,24,College,Central Connecticut State,Assistant Coach
1972,25,College,Central Connecticut State,Assistant Coach
1973,26,College,Albany,Assistant Coach
1974,27,College,Bridgeport,Assistant Coach
1975,28,College,Pittsburgh,Assistant Coach
1976,29,College,Washington State,Assistant Coach
1977,30,College,Boise State,Assistant Coach
1978,31,College,Boise State,Assistant Coach
1979,32,College,Boise State,Assistant Coach
1980,33,College,Oregon State,Assistant Coach
1981,34,College,Weber State,Assistant Head Coach/Defensive Coordinator
1982,35,College,Weber State,Assistant Head Coach/Defensive Coordinator
1983,36,College,Iowa State,Defensive Backs
1984,37,College,Syracuse,Defensive Backs
1985,38,College,Syracuse,Defensive Backs
1986,39,College,Syracuse,Defensive Backs
1987,40,College,Miami (FL),Secondary
1988,41,College,Miami (FL),Secondary
1989,42,NFL,Dallas Cowboys,Defensive Assistant
1990,43,NFL,Dallas Cowboys,Defensive Assistant
1991,44,NFL,Dallas Cowboys,Defensive Backs
1992,45,NFL,Dallas Cowboys,Defensive Backs
1993,46,NFL,Dallas Cowboys,Defensive Backs
1994,47,NFL,Dallas Cowboys,Defensive Backs
1995,48,NFL,Dallas Cowboys,Defensive Coordinator
1996,49,NFL,Dallas Cowboys,Defensive Coordinator
1997,50,NFL,Dallas Cowboys,Defensive Coordinator
1998,51,NFL,Dallas Cowboys,Defensive Coordinator
1999,52,NFL,Dallas Cowboys,Defensive Coordinator
2000,53,NFL,Dallas Cowboys,Head Coach
2001,54,NFL,Dallas Cowboys,Head Coach
2002,55,NFL,Dallas Cowboys,Head Coach
2003,56,NFL,Cleveland Browns,Defensive Coordinator
2004,57,NFL,Cleveland Browns,Defensive Coordinator
2005,58,NFL,Jacksonville Jaguars,Secondary
2006,59,NFL,Jacksonville Jaguars,Secondary
2007,60,NFL,Jacksonville Jaguars,Secondary
2008,61,NFL,Dallas Cowboys,Secondary
2009,62,NFL,Dallas Cowboys,Secondary
2010,63,NFL,Dallas Cowboys,Secondary
2011,64,NFL,Dallas Cowboys,Secondary
2012,65,College,Kansas,Defensive Coordinator/Secondary
2013,66,College,Kansas,Defensive Coordinator/Secondary
2014,67,College,Kansas,Defensive Coordinator/Secondary
2015,68,College,Kansas,Defensive Coordinator/Secondary
2018,71,College,Southern California,Defensive Consultant
2019,72,College,Southern California,Defensive Consultant
