Year,Age,Level,Employer,Role
1957,25,College,Western Illinois,Assistant Coach
1958,26,College,Western Illinois,Assistant Coach
1959,27,College,Western Illinois,Assistant Coach
1960,28,AFL,Boston Patriots,Assistant Coach
1961,29,AFL,Boston Patriots,Assistant Coach
1962,30,AFL,Buffalo Bills,Defensive Backs
1963,31,AFL,Buffalo Bills,Defensive Backs
1964,32,AFL,Buffalo Bills,Defensive Backs/Linebackers
1965,33,AFL,Buffalo Bills,Defensive Backs/Linebackers
1966,34,AFL,Buffalo Bills,Head Coach
1967,35,AFL,Buffalo Bills,Head Coach
1968,36,AFL,Buffalo Bills,Head Coach
1969,37,AFL,Denver Broncos,Defensive Backs
1970,38,NFL,Denver Broncos,Defensive Backs
1971,39,NFL,Denver Broncos,Defensive Backs
1972,40,NFL,Denver Broncos,Defensive Coordinator
1973,41,NFL,Denver Broncos,Defensive Coordinator
1974,42,NFL,Denver Broncos,Defensive Coordinator
1975,43,NFL,Denver Broncos,Defensive Coordinator
1976,44,NFL,Denver Broncos,Defensive Coordinator
1977,45,NFL,Denver Broncos,Defensive Coordinator
1978,46,NFL,Denver Broncos,Defensive Coordinator
1979,47,NFL,Denver Broncos,Defensive Coordinator
1980,48,NFL,Denver Broncos,Defensive Coordinator
1981,49,NFL,Denver Broncos,Defensive Coordinator
1982,50,NFL,Denver Broncos,Defensive Coordinator
1983,51,NFL,Denver Broncos,Defensive Coordinator
1984,52,NFL,Denver Broncos,Defensive Coordinator
1985,53,NFL,Denver Broncos,Defensive Coordinator
1986,54,NFL,Denver Broncos,Defensive Coordinator
1987,55,NFL,Denver Broncos,Defensive Coordinator
1988,56,NFL,Denver Broncos,Defensive Coordinator
1991,59,NFL,New England Patriots,Defensive Coordinator
1992,60,NFL,New England Patriots,Defensive Coordinator
