Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1966,BUF,HC,9,2,5,2,3,3,2,4,2,3,1,4,7,3,5,8,3,6,3,1,4,1,1,1,1,6,6,6,5,3,6
1967,BUF,HC,9,6,7,6,5,7,8,8,8,8,9,7,6,5,7,8,9,6,2,4,5,6,5,4,4,7,2,1,3,5,2
1968,BUF,HC,10,10,6,9,10,10,10,8,10,9,9,8,7,8,10,10,8,10,5,8,6,10,8,7,6,6,1,3,5,5,8
1972,DEN,DC,26,17,23,18,6,5,9,15,21,18,6,5,8,4,3,7,19,7,9,21,26,8,4,17,5,19,25,16,20,24,6
1973,DEN,DC,26,11,13,9,9,6,3,8,17,14,6,14,1,7,3,3,18,4,19,15,22,5,6,16,9,16,24,24,13,21,18
1974,DEN,DC,26,10,9,13,11,5,7,9,11,5,4,3,10,24,9,7,9,7,21,22,12,15,13,18,11,19,25,24,13,8,19
1975,DEN,DC,26,14,24,16,8,10,17,23,14,13,23,10,8,7,7,15,26,13,9,18,19,16,13,18,6,12,3,7,7,18,14
1976,DEN,DC,28,11,12,8,13,16,7,15,17,19,14,19,3,21,12,15,23,12,8,6,13,11,3,13,2,22,22,12,1,4,9
1977,DEN,DC,28,1,5,3,13,17,10,5,11,11,9,12,14,22,18,12,3,15,9,3,9,7,1,1,1,15,28,25,7,6,8
1978,DEN,DC,28,6,2,4,6,14,15,4,8,8,17,11,10,16,17,10,4,14,6,2,7,8,6,5,4,26,17,14,1,2,12
1979,DEN,DC,28,6,16,12,8,12,20,17,16,18,21,18,13,12,13,15,16,11,10,5,17,5,1,12,1,10,26,23,1,19,18
1980,DEN,DC,28,14,23,15,21,25,16,12,21,20,13,16,6,18,22,26,17,23,15,16,25,22,20,6,12,20,4,14,10,25,21
1981,DEN,DC,28,6,8,15,7,14,17,11,15,21,20,23,14,16,8,4,11,10,6,9,7,5,13,17,22,3,11,5,3,11,5
1982,DEN,DC,28,25,28,26,24,15,20,28,20,17,17,9,28,6,15,23,28,18,24,25,22,18,7,12,2,22,24,26,21,14,25
1983,DEN,DC,28,7,8,19,24,26,21,18,20,23,17,22,15,15,20,20,11,22,21,9,7,14,10,12,9,6,25,23,4,5,18
1984,DEN,DC,28,3,2,5,24,22,11,9,10,10,19,12,20,24,23,10,7,18,25,2,2,4,5,2,10,2,28,27,5,2,14
1985,DEN,DC,28,4,7,8,9,10,8,4,12,16,4,24,1,2,6,8,16,19,13,13,16,15,14,5,16,25,23,14,16,6,9
1986,DEN,DC,28,5,9,9,10,15,6,5,20,20,9,20,8,8,10,9,6,13,9,15,17,4,5,12,13,12,22,16,11,18,11
1987,DEN,DC,28,5,4,5,5,2,4,16,7,12,3,20,14,2,3,9,15,4,9,7,3,11,20,20,26,8,6,5,3,2,9
1988,DEN,DC,28,16,21,15,12,8,15,15,19,19,18,17,4,4,6,7,21,12,22,20,24,26,27,25,28,18,4,7,10,19,12
1991,NWE,DC,28,20,25,23,25,22,25,24,16,18,20,24,26,20,16,26,22,22,26,15,14,20,9,3,4,4,28,27,25,22,25
1992,NWE,DC,28,27,27,27,28,27,27,28,19,22,26,23,28,20,26,25,15,27,19,23,23,28,22,21,6,9,9,17,22,23,25
