,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1966,34,Buffalo Bills,AFL,14,9,4,1,.692,7.1,2.5,4.6,1,0,1,.000,1,
1,1967,35,Buffalo Bills,AFL,14,4,10,0,.286,-3.7,-6.2,2.5,,,,,3,
2,1968,36,Buffalo Bills,AFL,2,0,2,0,.000,-10.8,-7.9,-2.9,,,,,5,
