Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1964,NYJ,OC,8,6,4,5,7,7,7,2,5,5,5,6,1,5,7,5,6,7,6,5,5,6,5,5,5,6,5,7,2,1,7
1965,NYJ,OC,8,5,4,5,4,4,7,4,7,5,5,4,7,5,4,5,3,3,5,6,5,7,7,3,4,7,6,5,6,4,3
1966,NYJ,OC,9,6,7,6,4,2,5,5,6,6,4,6,2,1,1,5,7,2,4,6,9,4,5,5,5,7,7,5,4,7,4
1967,NYJ,OC,9,4,5,4,2,1,3,6,7,7,3,8,2,1,1,2,7,2,3,5,8,3,6,6,7,9,4,2,5,5,3
1968,NYJ,OC,10,3,2,3,1,3,2,3,3,8,1,9,2,3,3,4,4,2,1,4,2,2,1,2,1,3,4,2,4,2,3
1969,BOS,HC,10,8,4,7,9,10,8,1,9,10,7,5,3,9,10,5,2,8,9,6,8,10,9,10,9,7,1,4,3,7,10
1970,BOS,HC,26,26,25,26,26,26,26,22,26,26,12,25,7,11,26,26,24,26,23,26,25,26,26,26,21,3,2,10,18,26,23
