,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1969,38,Boston Patriots,AFL,14,4,10,0,.286,-4.0,-2.2,-1.8,,,,,3,
1,1970,39,Boston Patriots,NFL,7,1,6,0,.143,-15.9,-9.1,-6.8,,,,,5,
