,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1992,43,MIN,NFL,16,11,5,0,.688,7.7,4.4,3.3,1,0,1,.000,1,,,
1,1993,44,MIN,NFL,16,9,7,0,.563,-0.1,-1.3,1.2,1,0,1,.000,2,,,
2,1994,45,MIN,NFL,16,10,6,0,.625,3.2,2.4,0.8,1,0,1,.000,1,,,
3,1995,46,MIN,NFL,16,8,8,0,.500,3.7,5.1,-1.4,,,,,4,,,
4,1996,47,MIN,NFL,16,9,7,0,.563,-0.1,-0.9,0.7,1,0,1,.000,2,,,
5,1997,48,MIN,NFL,16,9,7,0,.563,-0.1,1.7,-1.8,2,1,1,.500,4,,,
6,1998,49,MIN,NFL,16,15,1,0,.938,14.9,13.2,1.6,2,1,1,.500,1,,,
7,1999,50,MIN,NFL,16,10,6,0,.625,4.4,5.2,-0.8,2,1,1,.500,2,5,1,
8,2000,51,MIN,NFL,16,11,5,0,.688,1.9,4.3,-2.3,2,1,1,.500,1,7,5,
9,2001,52,MIN,NFL,15,5,10,0,.333,-4.7,-0.8,-3.9,,,,,4,5,1,
10,2004,55,ARI,NFL,16,6,10,0,.375,-4.9,-5.1,0.2,,,,,3,10,3,
11,2005,56,ARI,NFL,16,5,11,0,.313,-5.0,-2.0,-3.0,,,,,3,7,1,
12,2006,57,ARI,NFL,16,5,11,0,.313,-6.9,-2.6,-4.3,,,,,4,10,3,
