,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1992,MIN,HC,28,4,3,4,10,11,4,12,5,7,4,14,20,19,18,12,6,16,8,7,2,14,14,11,12,13,22,7,3,1,2
1,1993,MIN,HC,28,9,5,17,8,17,20,5,17,21,21,17,4,12,14,13,9,14,1,12,9,7,6,21,10,23,7,6,1,2,8
2,1994,MIN,HC,28,6,13,8,2,3,7,21,19,20,17,17,19,2,3,18,23,9,5,13,7,1,1,5,1,4,26,21,23,10,8
3,1995,MIN,HC,30,14,2,10,8,4,4,13,17,16,19,11,13,3,5,2,13,13,20,27,2,2,4,8,8,11,29,28,27,2,21
4,1996,MIN,HC,30,10,11,17,11,12,23,17,20,24,27,20,14,8,8,8,17,10,16,15,8,16,24,22,30,14,17,9,10,7,7
5,1997,MIN,HC,30,10,10,16,21,8,11,7,15,6,12,3,1,12,14,5,16,13,29,19,17,13,23,17,28,7,19,29,28,25,27
6,1998,MIN,HC,30,1,2,1,2,2,1,3,15,11,8,5,1,13,1,1,15,1,13,6,6,9,11,14,16,6,25,19,3,10,15
7,1999,MIN,HC,31,7,27,9,13,3,5,30,20,14,10,6,28,19,5,3,24,3,27,18,17,10,14,10,17,4,31,30,11,26,23
8,2000,MIN,HC,31,5,26,15,15,5,5,13,17,6,12,1,6,23,7,2,19,3,28,24,31,8,15,25,27,22,28,28,17,31,24
9,2001,MIN,HC,31,26,31,28,26,12,24,30,28,25,20,10,27,10,7,9,27,13,27,26,31,24,30,31,31,24,5,18,7,31,27
10,2004,ARI,HC,32,21,18,21,26,27,26,18,11,22,8,30,14,13,24,29,20,28,12,12,13,18,27,13,32,5,14,9,7,19,7
11,2005,ARI,HC,32,23,30,23,3,8,17,29,32,32,32,32,28,1,1,12,27,11,8,26,21,7,10,30,16,17,11,12,6,19,20
12,2006,ARI,HC,32,27,12,25,25,18,19,20,26,30,18,32,20,7,10,22,17,9,29,29,5,18,16,25,18,4,21,30,16,17,30
