Year,Age,Level,Employer,Role
1937,34,NFL,Pittsburgh Pirates,Head Coach
1938,35,NFL,Pittsburgh Pirates,Head Coach
1939,36,NFL,Pittsburgh Pirates,Head Coach
1940,37,Independent,Kenosha Cardinals,Head Coach
1941,38,Independent,Kenosha Cardinals,Head Coach
1950,47,College,St. John's (MN),Head Coach
1951,48,College,St. John's (MN),Head Coach
1952,49,College,St. John's (MN),Head Coach
