,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2016,48,Philadelphia Eagles,NFL,16,7,9,0,.438,3.8,1.3,2.5,,,,,4,10,6,
1,2017,49,Philadelphia Eagles,NFL,16,13,3,0,.813,9.4,7.0,2.5,3,3,0,1.000,1,7,3,Super Bowl Champions
2,2018,50,Philadelphia Eagles,NFL,16,9,7,0,.563,1.7,0.0,1.8,2,1,1,.500,2,6,3,
3,2019,51,Philadelphia Eagles,NFL,16,9,7,0,.563,0.3,0.7,-0.4,1,0,1,.000,1,6,2,
4,2020,52,Philadelphia Eagles,NFL,3,0,2,1,.167,-18.7,-8.7,-10.0,,,,,3,1,1,
