Year,Age,Level,Employer,Role
1951,26,High School,St. Louis Country Day School (MO),Head Coach
1952,27,High School,St. Louis Country Day School (MO),Head Coach
1953,28,College,Coe College,Assistant Coach
1954,29,College,New Mexico,Assistant Coach
1955,30,College,New Mexico,Assistant Coach
1956,31,College,New Mexico,Assistant Coach
1957,32,College,New Mexico,Assistant Coach
1958,33,College,New Mexico,Head Coach
1959,34,College,New Mexico,Head Coach
1960,35,College,California,Head Coach
1961,36,College,California,Head Coach
1962,37,College,California,Head Coach
1963,38,College,California,Head Coach
1964,39,College,William & Mary,Head Coach
1965,40,College,William & Mary,Head Coach
1966,41,College,William & Mary,Head Coach
1967,42,College,William & Mary,Head Coach
1968,43,College,William & Mary,Head Coach
1969,44,NFL,Philadelphia Eagles,Kicking Teams
1970,45,NFL,Los Angeles Rams,Special Teams
1971,46,NFL,Washington Redskins,Special Teams
1972,47,NFL,Washington Redskins,Special Teams
1973,48,CFL,Montreal Alouettes,Head Coach
1974,49,CFL,Montreal Alouettes,Head Coach
1975,50,CFL,Montreal Alouettes,Head Coach
1976,51,CFL,Montreal Alouettes,Head Coach
1977,52,CFL,Montreal Alouettes,Head Coach
1978,53,NFL,Kansas City Chiefs,Head Coach
1979,54,NFL,Kansas City Chiefs,Head Coach
1980,55,NFL,Kansas City Chiefs,Head Coach
1981,56,NFL,Kansas City Chiefs,Head Coach
1982,57,NFL,Kansas City Chiefs,Head Coach
1984,59,USFL,Chicago Blitz,Head Coach
1986,61,NFL,Buffalo Bills,Head Coach
1987,62,NFL,Buffalo Bills,Head Coach
1988,63,NFL,Buffalo Bills,Head Coach
1989,64,NFL,Buffalo Bills,Head Coach
1990,65,NFL,Buffalo Bills,Head Coach
1991,66,NFL,Buffalo Bills,Head Coach
1992,67,NFL,Buffalo Bills,Head Coach
1993,68,NFL,Buffalo Bills,Head Coach
1994,69,NFL,Buffalo Bills,Head Coach
1995,70,NFL,Buffalo Bills,Head Coach
1996,71,NFL,Buffalo Bills,Head Coach
1997,72,NFL,Buffalo Bills,Head Coach
