,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1978,KAN,HC,28,26,11,26,17,15,24,4,2,2,5,2,15,25,27,27,1,26,20,22,24,21,18,24,18,24,4,17,14,19,27
1,1979,KAN,HC,28,18,12,18,25,27,26,9,9,13,10,12,16,28,28,28,7,28,12,5,17,11,6,1,6,22,27,22,20,10,11
2,1980,KAN,HC,28,14,2,16,26,28,14,5,9,18,14,28,17,28,27,23,3,24,18,19,6,18,21,17,21,12,21,10,22,3,6
3,1981,KAN,HC,28,10,13,11,16,17,12,22,2,3,4,3,27,28,25,27,13,18,17,10,5,13,3,17,2,5,27,23,6,6,15
4,1982,KAN,HC,28,21,1,15,20,25,16,1,16,21,27,24,1,21,21,16,2,22,10,18,14,16,19,9,11,11,8,10,17,14,18
5,1986,BUF,HC,28,24,28,23,22,19,20,19,25,21,23,13,24,19,15,9,10,11,24,20,28,10,9,23,8,28,24,27,11,27,23
6,1987,BUF,HC,28,15,24,19,16,16,24,25,17,17,23,16,27,7,18,15,15,24,12,12,20,27,22,11,11,16,4,9,20,17,14
7,1988,BUF,HC,28,1,16,5,6,12,14,10,6,7,12,12,16,23,15,20,7,6,4,3,19,13,12,10,11,7,3,4,6,23,7
8,1989,BUF,HC,28,10,20,5,5,5,3,21,5,3,10,7,27,21,8,2,15,4,11,14,15,18,14,16,12,18,13,10,2,7,10
9,1990,BUF,HC,28,2,4,1,5,6,1,3,9,7,2,7,4,24,10,3,4,3,8,6,5,21,15,16,6,10,6,7,6,12,9
10,1991,BUF,HC,28,2,9,3,5,1,2,18,5,1,7,3,18,5,4,1,18,3,27,19,7,27,24,24,15,14,24,21,1,4,16
11,1992,BUF,HC,28,4,18,6,4,2,3,22,1,1,6,5,20,8,6,5,18,7,12,14,8,9,2,6,1,18,27,20,13,5,12
12,1993,BUF,HC,28,1,2,5,20,6,7,23,2,8,10,23,21,18,11,9,15,8,27,5,1,23,21,5,14,1,26,24,14,4,18
13,1994,BUF,HC,28,17,24,14,12,10,11,21,7,8,7,11,15,12,10,8,24,20,17,22,18,15,8,8,3,14,13,23,25,18,25
14,1995,BUF,HC,30,6,11,13,16,20,13,8,1,6,19,18,9,25,21,13,8,17,13,12,21,20,11,25,7,23,22,16,1,12,7
15,1996,BUF,HC,30,6,25,7,9,16,15,26,1,8,10,27,14,25,17,20,28,11,9,6,18,23,14,14,1,7,26,8,2,21,3
16,1997,BUF,HC,30,22,28,28,16,25,29,28,23,14,16,9,26,11,25,26,29,30,9,23,26,23,15,10,6,28,9,12,8,15,11
