,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1978,53,Kansas City Chiefs,NFL,16,4,12,0,.250,-4.4,-3.0,-1.4,,,,,5,
1,1979,54,Kansas City Chiefs,NFL,16,7,9,0,.438,1.4,-4.0,5.4,,,,,5,
2,1980,55,Kansas City Chiefs,NFL,16,8,8,0,.500,-0.5,-0.8,0.3,,,,,3,
3,1981,56,Kansas City Chiefs,NFL,16,9,7,0,.563,3.2,0.4,2.8,,,,,3,
4,1982,57,Kansas City Chiefs,NFL,9,3,6,0,.333,-0.2,-1.9,1.6,,,,,4,
5,1986,61,Buffalo Bills,NFL,7,2,5,0,.286,-5.8,-5.0,-0.8,,,,,4,
6,1987,62,Buffalo Bills,NFL,15,7,8,0,.467,-0.2,-2.6,2.4,,,,,4,
7,1988,63,Buffalo Bills,NFL,16,12,4,0,.750,6.4,0.0,6.4,2,1,1,.500,1,
8,1989,64,Buffalo Bills,NFL,16,9,7,0,.563,4.3,3.8,0.5,1,0,1,.000,1,
9,1990,65,Buffalo Bills,NFL,16,13,3,0,.813,8.6,5.7,2.9,3,2,1,.667,1,AFC Champions
10,1991,66,Buffalo Bills,NFL,16,13,3,0,.813,3.6,7.6,-4.1,3,2,1,.667,1,AFC Champions
11,1992,67,Buffalo Bills,NFL,16,11,5,0,.688,4.3,4.7,-0.4,4,3,1,.750,2,AFC Champions
12,1993,68,Buffalo Bills,NFL,16,12,4,0,.750,4.8,1.8,3.0,3,2,1,.667,1,AFC Champions
13,1994,69,Buffalo Bills,NFL,16,7,9,0,.438,-0.2,1.5,-1.8,,,,,4,
14,1995,70,Buffalo Bills,NFL,16,10,6,0,.625,-0.9,-0.5,-0.4,2,1,1,.500,1,
15,1996,71,Buffalo Bills,NFL,16,10,6,0,.625,2.9,-1.0,3.9,1,0,1,.000,2,
16,1997,72,Buffalo Bills,NFL,16,6,10,0,.375,-4.5,-4.0,-0.5,,,,,4,
