,Year,Age,Level,Employer,Role
0,2010,25,College (FCS),Brown,Quarterbacks
1,2011,26,College (FCS),Rhode Island,Quarterbacks/Passing Game Coordinator
2,2012,27,College (FCS),Brown,Quarterbacks
3,2013,28,College (FCS),Brown,Quarterbacks
4,2014,29,College (FBS),UMass,Quarterbacks/Passing Game Coordinator
5,2015,30,College (FBS),UMass,Quarterbacks/Passing Game Coordinator
6,2016,31,College (FCS),Maine,Offensive Coordinator
7,2017,32,College (FCS),Maine,Offensive Coordinator
8,2018,33,NFL,Los Angeles Rams,Asst. Wide Receivers
9,2019,34,NFL,Los Angeles Rams,Asst. Wide Receivers
10,2020,35,NFL,Los Angeles Rams,Asst. Quarterbacks
11,2021,36,College (FBS),Kentucky,Offensive Coordinator/Quarterbacks
12,2022,37,NFL,Los Angeles Rams,Offensive Coordinator
13,2023,38,College (FBS),Kentucky,Offensive Coordinator/Quarterbacks
14,2024,39,NFL,Tampa Bay Buccaneers,Offensive Coordinator
15,2025,40,NFL,Jacksonville Jaguars,Head Coach
