Year,Age,Level,Employer,Role
1937,31,College,UCLA,Line Coach
1938,32,College,UCLA,Line Coach
1939,33,College,UCLA,Line Coach
1940,34,College,UCLA,Line Coach
1941,35,College,UCLA,Line Coach
1942,36,College,UCLA,Line Coach
1943,37,College,UCLA,Line Coach
1944,38,College,UCLA,Line Coach
1945,39,College,UCLA,Line Coach
1946,40,College,UCLA,Line Coach
1947,41,College,UCLA,Line Coach
1948,42,College,Pepperdine,Assistant Coach
1949,43,College,Pepperdine,Head Coach
1950,44,College,Pepperdine,Head Coach
1951,45,NFL,Los Angeles Rams,Line Coach
1952,46,NFL,Los Angeles Rams,Line Coach
1953,47,NFL,Baltimore Colts,Line Coach
1954,48,NFL,Chicago Cardinals,Line Coach
1955,49,NFL,Chicago Cardinals,Head Coach
1956,50,NFL,Chicago Cardinals,Head Coach
1957,51,NFL,Chicago Cardinals,Head Coach
1958,52,NFL,Green Bay Packers,Defensive Coordinator
