,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1973,52,NOR,NFL,14,5,9,0,.357,-8.8,-7.0,-1.7,,,,,4,
1,1974,53,NOR,NFL,14,5,9,0,.357,-7.3,-5.7,-1.7,,,,,3,
2,1975,54,NOR,NFL,6,1,5,0,.167,-14.1,-8.2,-5.9,,,,,4,
