Year,Age,Level,Employer,Role
1931,26,High School,Springfield HS (Springfield OH),Assistant Coach
1932,27,High School,Fostoria HS (Fostoria OH),Head Coach
1933,28,High School,Fostoria HS (Fostoria OH),Head Coach
1934,29,College,Case Western Reserve,Assistant Coach
1935,30,College,Case Western Reserve,Head Coach
1936,31,College,Case Western Reserve,Head Coach
1937,32,College,Case Western Reserve,Head Coach
1938,33,College,Case Western Reserve,Head Coach
1939,34,College,Case Western Reserve,Head Coach
1940,35,College,Case Western Reserve,Head Coach
1941,36,NFL,Detroit Lions,Head Coach
1942,37,NFL,Detroit Lions,Head Coach
1943,38,College,St. Mary's (CA) Pre-Flight,Head Coach
1947,42,AAFC,Cleveland Browns,Tackles
1948,43,AAFC,Cleveland Browns,Tackles
1949,44,College,Vanderbilt,Head Coach
1950,45,College,Vanderbilt,Head Coach
1951,46,College,Vanderbilt,Head Coach
1952,47,College,Vanderbilt,Head Coach
1953,48,College,North Carolina,Assistant Coach
1954,49,College,North Carolina,Assistant Coach
1955,50,College,Wittenberg,Head Coach
1956,51,College,Wittenberg,Head Coach
1957,52,College,Wittenberg,Head Coach
1958,53,College,Wittenberg,Head Coach
1959,54,College,Wittenberg,Head Coach
1960,55,College,Wittenberg,Head Coach
1961,56,College,Wittenberg,Head Coach
1962,57,College,Wittenberg,Head Coach
1963,58,College,Wittenberg,Head Coach
1964,59,College,Wittenberg,Head Coach
1965,60,College,Wittenberg,Head Coach
1966,61,College,Wittenberg,Head Coach
1967,62,College,Wittenberg,Head Coach
1968,63,College,Wittenberg,Head Coach
