,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1941,36,Detroit Lions,NFL,11,4,6,1,.400,-2.6,-4.3,1.7,,,,,3,
1,1942,37,Detroit Lions,NFL,3,0,3,0,.000,-17.6,-12.3,-5.3,,,,,5,
