Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1975,44,BAL,NFL,14,10,4,0,.714,8.6,6.3,2.2,1,0,1,.000,1,
1976,45,BAL,NFL,14,11,3,0,.786,9.8,9.3,0.4,1,0,1,.000,1,
1977,46,BAL,NFL,14,10,4,0,.714,5.0,3.6,1.5,1,0,1,.000,1,
1978,47,BAL,NFL,16,5,11,0,.313,-8.8,-2.8,-6.0,,,,,5,
1979,48,BAL,NFL,16,5,11,0,.313,-3.5,-2.0,-1.5,,,,,5,
1992,61,IND,NFL,16,9,7,0,.563,-7.0,-6.0,-1.0,,,,,3,
1993,62,IND,NFL,16,4,12,0,.250,-11.3,-6.2,-5.1,,,,,5,
1994,63,IND,NFL,16,8,8,0,.500,-1.5,-1.3,-0.2,,,,,3,
1995,64,IND,NFL,16,9,7,0,.563,-1.3,-1.8,0.4,3,2,1,.667,2,
1996,65,BAL,NFL,16,4,12,0,.250,-2.9,3.9,-6.8,,,,,5,
1997,66,BAL,NFL,16,6,9,1,.406,-0.6,-0.4,-0.2,,,,,5,
1998,67,BAL,NFL,16,6,10,0,.375,-5.4,-5.2,-0.2,,,,,4,
