Year,Age,Level,Employer,Role
1961,30,NFL,Washington Redskins,Offensive Backs
1962,31,NFL,Washington Redskins,Offensive Backs
1963,32,NFL,Washington Redskins,Offensive Coach
1964,33,NFL,Washington Redskins,Offensive Coach
1965,34,NFL,Washington Redskins,Offensive Coach
1966,35,NFL,Los Angeles Rams,Offensive Backs
1967,36,NFL,Los Angeles Rams,Offensive Backs
1968,37,NFL,Los Angeles Rams,Offensive Backs
1969,38,NFL,Los Angeles Rams,Offensive Backs
1970,39,NFL,Los Angeles Rams,Offensive Backs
1971,40,NFL,Washington Redskins,Offensive Coordinator
1972,41,NFL,Washington Redskins,Offensive Coordinator
1973,42,NFL,Washington Redskins,Offensive Coordinator
1974,43,NFL,Washington Redskins,Offensive Coordinator
1975,44,NFL,Baltimore Colts,Head Coach
1976,45,NFL,Baltimore Colts,Head Coach
1977,46,NFL,Baltimore Colts,Head Coach
1978,47,NFL,Baltimore Colts,Head Coach
1979,48,NFL,Baltimore Colts,Head Coach
1981,50,NFL,Chicago Bears,Offensive Coordinator
1982,51,NFL,Detroit Lions,Offensive Coordinator
1983,52,NFL,Detroit Lions,Offensive Coordinator
1984,53,NFL,Philadelphia Eagles,Offensive Coordinator
1985,54,NFL,Philadelphia Eagles,Offensive Coordinator
1987,56,NFL,Buffalo Bills,Offensive Coordinator
1988,57,NFL,Buffalo Bills,Offensive Coordinator
1989,58,NFL,Buffalo Bills,Offensive Coordinator
1990,59,NFL,Buffalo Bills,Offensive Coordinator
1991,60,NFL,Buffalo Bills,Offensive Coordinator
1992,61,NFL,Indianapolis Colts,Head Coach
1993,62,NFL,Indianapolis Colts,Head Coach
1994,63,NFL,Indianapolis Colts,Head Coach
1995,64,NFL,Indianapolis Colts,Head Coach
1996,65,NFL,Baltimore Ravens,Head Coach
1997,66,NFL,Baltimore Ravens,Head Coach
1998,67,NFL,Baltimore Ravens,Head Coach
