,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1971,WAS,OC,26,6,9,6,6,13,12,11,12,14,21,20,22,19,10,17,8,5,4,4,6,5,4,3,4,20,24,12,5,1,4
1,1972,WAS,OC,26,2,7,3,5,11,7,3,6,10,6,14,8,23,12,3,8,2,4,3,14,4,7,10,13,10,21,6,3,16,4
2,1973,WAS,OC,26,4,4,6,12,18,6,12,18,25,20,26,20,9,6,5,8,7,9,6,2,8,4,6,1,6,25,18,9,2,8
3,1974,WAS,OC,26,4,1,2,3,12,4,2,14,23,18,26,2,3,1,2,2,5,2,4,4,3,3,2,6,8,19,5,8,3,2
4,1975,BAL,HC,26,7,1,5,11,12,2,1,9,8,1,9,4,19,13,7,1,11,12,10,8,5,7,17,17,21,17,13,16,2,10
5,1976,BAL,HC,28,3,6,2,5,1,1,2,7,7,2,16,15,15,1,2,1,1,15,13,14,2,7,5,20,6,15,22,16,18,17
6,1977,BAL,HC,28,4,2,6,6,6,6,4,7,9,8,17,8,2,3,8,3,6,17,11,3,2,9,10,24,9,26,21,3,2,13
7,1978,BAL,HC,28,23,25,28,28,24,27,23,24,23,28,17,10,20,24,10,23,24,28,28,20,27,27,24,26,7,3,25,28,24,28
8,1979,BAL,HC,28,23,14,23,17,20,22,17,17,26,24,28,24,3,10,15,9,21,15,19,13,21,19,10,18,14,3,15,23,10,21
9,1981,CHI,OC,28,22,15,23,25,26,27,13,3,11,17,25,9,15,27,26,16,28,19,14,12,17,20,9,19,4,20,14,18,18,12
10,1982,DET,OC,28,15,14,10,18,24,15,23,13,16,21,18,5,13,22,9,27,27,9,14,5,14,4,7,1,18,17,18,13,2,14
11,1983,DET,OC,28,7,16,6,17,18,15,15,13,12,8,9,10,14,22,18,15,24,11,2,16,13,16,5,17,21,18,11,13,16,6
12,1984,PHI,OC,28,20,15,19,23,26,23,8,28,28,28,25,14,2,11,17,7,25,12,14,22,26,23,11,14,22,9,6,14,13,9
13,1985,PHI,OC,28,16,24,19,13,15,24,17,23,23,27,19,5,7,8,18,25,14,10,10,25,21,21,15,17,19,5,6,6,19,10
14,1989,BUF,OC,28,10,20,5,5,5,3,21,5,3,10,7,27,21,8,2,15,4,11,14,15,18,14,16,12,18,13,10,2,7,10
15,1990,BUF,OC,28,2,4,1,5,6,1,3,9,7,2,7,4,24,10,3,4,3,8,6,5,21,15,16,6,10,6,7,6,12,9
16,1991,BUF,OC,28,2,9,3,5,1,2,18,5,1,7,3,18,5,4,1,18,3,27,19,7,27,24,24,15,14,24,21,1,4,16
17,1992,IND,HC,28,12,15,21,25,24,26,20,25,28,21,28,7,4,8,25,27,20,21,16,8,26,26,24,24,9,13,11,5,10,14
18,1993,IND,HC,28,26,25,28,24,22,27,23,28,28,26,24,26,2,8,27,12,22,28,27,27,28,28,28,26,20,2,12,21,25,25
19,1994,IND,HC,28,15,18,13,28,27,18,16,4,4,5,3,24,28,28,25,5,21,20,14,18,19,12,3,7,22,27,24,21,10,10
20,1995,IND,HC,30,9,7,13,17,22,17,4,8,11,13,16,5,30,23,18,4,10,7,5,23,12,6,4,3,15,19,20,15,25,16
21,1996,BAL,HC,30,27,27,24,16,3,6,21,24,14,16,7,14,6,2,2,20,4,30,28,28,25,23,25,15,30,17,30,26,20,29
22,1997,BAL,HC,30,20,23,18,15,9,16,23,24,22,27,19,26,5,5,8,16,11,25,18,15,19,10,25,5,21,25,28,11,11,23
23,1998,BAL,HC,30,20,23,20,25,26,26,16,23,20,25,15,21,25,25,23,11,21,22,16,22,16,17,14,6,30,19,24,10,16,23
