Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1954,NYG,OC,12,6,1,3,6,6,6,5,8,7,9,5,5,8,6,2,4,5,3,2,1,9,3,4,3,1,5,3,2,1,3
1955,NYG,OC,12,5,3,2,9,10,3,4,9,8,7,6,3,8,9,3,2,6,5,3,6,4,3,2,3,7,12,12,7,5,8
1956,NYG,OC,12,3,3,3,3,7,5,1,5,3,4,5,8,7,8,4,1,8,1,4,7,3,1,2,1,3,9,6,5,9,2
1957,NYG,OC,12,4,7,3,3,4,5,4,5,7,6,9,12,9,2,5,1,2,4,3,7,9,8,6,8,7,1,3,2,6,5
1958,NYG,OC,12,1,2,5,7,10,9,3,4,6,6,10,4,10,11,8,2,9,4,1,4,6,3,2,1,2,3,4,2,6,6
1959,GNB,HC,12,4,8,7,6,6,8,6,5,3,3,4,6,11,8,5,6,4,3,6,10,10,7,6,7,6,9,2,4,8,2
1960,GNB,HC,13,3,3,2,4,4,2,3,2,2,1,3,6,11,7,11,3,6,7,2,5,2,3,1,4,3,13,9,8,5,5
1961,GNB,HC,14,1,1,1,3,4,1,1,3,1,1,1,1,14,9,9,2,3,6,2,2,4,7,6,7,7,13,4,2,2,3
1962,GNB,HC,14,1,1,1,1,4,1,1,2,1,1,1,5,14,10,12,1,6,2,1,1,4,5,1,3,4,3,1,1,1,1
1963,GNB,HC,14,2,5,2,2,6,2,12,2,2,1,2,13,13,7,5,6,3,2,2,4,7,3,3,2,2,6,2,1,6,2
1964,GNB,HC,14,4,3,3,1,5,5,2,3,1,2,2,6,14,12,11,1,7,1,2,2,3,3,8,4,1,1,1,1,10,1
1965,GNB,HC,14,2,1,3,12,12,8,2,6,10,6,11,4,14,11,12,3,8,3,1,1,12,13,2,9,2,7,1,1,1,1
1966,GNB,HC,15,1,2,2,4,8,4,1,3,8,3,13,14,15,6,7,1,1,3,1,4,8,6,3,5,8,3,1,1,2,1
1967,GNB,HC,16,3,5,3,3,9,9,8,4,2,2,4,2,15,11,11,13,6,1,3,4,11,13,3,15,5,3,1,2,5,1
1969,WAS,HC,16,7,8,9,9,8,7,3,16,13,9,5,1,4,5,6,4,11,12,10,13,16,16,16,15,13,5,6,2,11,7
