,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1940,51,Brooklyn Dodgers,NFL,11,8,3,0,.727,3.7,0.9,2.8,,,,,2,
1,1941,52,Brooklyn Dodgers,NFL,11,7,4,0,.636,-0.5,-3.2,2.8,,,,,2,
2,1946,57,Pittsburgh Steelers,NFL,11,5,5,1,.500,0.8,-7.3,8.1,,,,,3,
3,1947,58,Pittsburgh Steelers,NFL,12,8,4,0,.667,-4.1,-3.4,-0.7,1,0,1,.000,1,
