Year,Age,Level,Employer,Role
1957,31,NFL,Pittsburgh Steelers,Backfield Coach
1958,32,NFL,Pittsburgh Steelers,Backfield Coach
1959,33,NFL,Pittsburgh Steelers,Backfield Coach
1960,34,NFL,Pittsburgh Steelers,Backfield Coach
1961,35,NFL,Minnesota Vikings,Defensive Backs
1962,36,NFL,Minnesota Vikings,Defensive Backs
1963,37,NFL,Minnesota Vikings,Defensive Backs
1964,38,NFL,Minnesota Vikings,Defensive Backs
1965,39,NFL,Detroit Lions,Head Coach
1966,40,NFL,Detroit Lions,Head Coach
1967,41,NFL,St. Louis Cardinals,Quarterbacks
1968,42,NFL,St. Louis Cardinals,Quarterbacks
1969,43,NFL,St. Louis Cardinals,Quarterbacks
1970,44,NFL,Atlanta Falcons,Receivers
1971,45,NFL,Atlanta Falcons,Receivers
1972,46,NFL,Atlanta Falcons,Receivers
1973,47,NFL,Atlanta Falcons,Receivers
1974,48,NFL,Atlanta Falcons,Receivers
1975,49,NFL,St. Louis Cardinals,Quarterbacks
1976,50,NFL,St. Louis Cardinals,Quarterbacks
1977,51,NFL,St. Louis Cardinals,Quarterbacks
1978,52,NFL,St. Louis Cardinals,Quarterbacks
1979,53,NFL,St. Louis Cardinals,Quarterbacks
1980,54,NFL,St. Louis Cardinals,Quarterbacks
1981,55,NFL,St. Louis Cardinals,Quarterbacks
1982,56,NFL,St. Louis Cardinals,Quarterbacks
