,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1981,CIN,OC,28,2,4,2,5,2,3,1,18,17,7,17,2,5,3,2,1,3,12,12,16,3,9,8,16,12,25,22,20,16,10
1,1982,CIN,OC,28,3,7,9,7,2,4,2,16,20,3,23,3,7,3,9,3,2,18,15,20,1,3,12,12,25,23,22,17,9,21
2,1986,CLE,OC,28,3,4,6,13,9,5,1,16,22,5,24,8,11,8,17,1,7,19,11,12,18,18,9,21,2,16,15,11,18,17
3,1987,CLE,OC,28,6,8,2,2,9,3,4,16,21,7,22,14,15,5,4,1,3,3,2,13,2,2,4,5,19,10,8,3,6,7
4,1988,GNB,HC,28,26,25,23,17,24,26,27,27,26,16,24,28,3,13,23,24,25,7,11,4,20,20,17,18,1,5,5,1,12,6
5,1989,GNB,HC,28,6,9,14,9,6,8,12,26,20,16,5,9,3,5,5,15,12,16,18,5,13,19,16,26,13,6,13,17,5,23
6,1990,GNB,HC,28,17,27,24,24,20,23,26,25,26,27,17,27,5,8,14,20,22,22,18,16,19,20,20,21,15,13,22,11,17,25
7,1991,GNB,HC,28,22,23,20,20,24,22,19,24,22,15,19,21,6,19,12,18,23,10,18,19,19,7,11,2,14,20,17,19,18,8
8,1995,IND,OC,30,9,7,13,17,22,17,4,8,11,13,16,5,30,23,18,4,10,7,5,23,12,6,4,3,15,19,20,15,25,16
9,1996,IND,HC,30,10,17,17,25,25,16,2,23,28,19,23,14,15,16,23,1,18,22,18,26,18,18,14,17,22,15,23,23,23,27
10,1997,IND,HC,30,30,19,24,12,19,20,16,14,17,20,16,9,18,19,22,20,21,10,26,22,11,26,27,29,13,1,4,26,25,15
