Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1988,48,GNB,NFL,16,4,12,0,.250,-3.3,-3.9,0.6,,,,,5,
1989,49,GNB,NFL,16,10,6,0,.625,-1.0,1.0,-2.0,,,,,2,
1990,50,GNB,NFL,16,6,10,0,.375,-4.1,-3.7,-0.4,,,,,4,
1991,51,GNB,NFL,16,4,12,0,.250,-4.8,-3.3,-1.4,,,,,4,
1996,56,IND,NFL,16,9,7,0,.563,-1.6,-1.8,0.2,1,0,1,.000,3,
1997,57,IND,NFL,16,3,13,0,.188,-4.3,-0.6,-3.8,,,,,5,
